'an'hui'ri'fa'fang'zhi'ji'xie 安徽日发纺织机械
'yan'wu'chuan'gan'qi'shang'duan'gai 烟雾传感器上端盖
'yan'wu'chuan'gan'qi'xia'duan'gai 烟雾传感器下端盖
'yang'mao'lun 羊毛轮
'yang'mao'mo'tou 羊毛磨头
'yang'mao'pao'guang'lun 羊毛抛光轮
'yao'ba'ba'shou 摇把把手
'yao'ba'tao 摇把套
'yao'jia 摇架
'ye'kong'dan'xiang'an'zhuang'zuo 液控单向安装座
'ye'kong'dan'xiang'fa'an'zhuang'zuo 液控单向阀安装座
'ye'lun 叶轮
'ye'lun 页轮
'ye'pian'qian'fen'chi 叶片千分尺
'ye'ya'beng 液压泵
'ye'ya'che'che'lun 液压车车轮
'ye'ya'dian'ci'fa 液压电磁阀
'ye'ya'dian'ji 液压电机
'ye'ya'fa 液压阀
'ye'ya'ka'zhao 液压卡爪
'ye'ya'ruan'zhua 液压软爪
'ye'ya'suo'an'zhuang'zuo 液压锁安装座
'ye'ya'you 液压油
'yi'jia'deng'zuo'mu'ju 易佳灯座模具
'yi'liu'fa'jie'tou 溢流阀接头
'yi'ti'deng 一体灯
'yi'xing'jian 异形件
'ying'du'jian'ce'yi 硬度检测仪
'ying'zhi'he'jin'dao'jiao'dao 硬质合金倒角刀
'ying'zhi'he'jin'zuan'tou 硬质合金钻头
'yong'ci'ci'pan 永磁磁盘
'you'beng 油泵
'you'bi 右臂
'you'er'kuai 右耳块
'you'feng 油封
'you'gang'ding'gang'gu'ding'zuo 油缸顶杠固定座
'you'gang'jiao'jie'di'zuo 油缸铰接底坐
'you'gang'ping'yi'jiao'zuo 油缸平移角座
'you'gang'shang'jiao'jie'zuo 油缸上铰接座
'you'gang'xiao'zhou 油缸销轴
'you'gang'xiao'zhou'ping'dian 油缸销轴平垫
'you'gang'zhi'jia 油缸支架
'you'guan 油管
'you'guan'jie'tou 油管接头
'you'guan'ka'ban 油管卡板
'you'guan'ka'tao 油管卡套
'you'guan'lian'jie'qi 油管连接器
'you'guan'lian'jie'qi'xin 油管连接器新
'you'guo'lv'qi 油过滤器
'you'la'gan 右拉杆
'you'la'shou'zhi'jia 右拉手支架
'you'lian'jie'kuai 右连接块
'you'lv'xin 油滤芯
'you'ming'ji'dian'she'bei 优铭机电设备
'you'qi 油漆
'you'qi'bi'bai 油漆笔白
'you'qi'fen'li'qi 油气分离器
'you'qi'fen'li'xin 油气分离芯
'you'qi'hui'shou'ce'shi'tao'guan 油气回收测试套管
'you'qi'hui'shou'shi'you'qi 油气回收视油器
'you'qu'gui 右曲轨
'you'shi 油石
'you'shi'pen'shui'guan 油石喷水管
'you'shui'fen'li'guo'lv'qi 油水分离过滤器
'you'shui'fen'li'leng'que'qi 油水分离冷却器
'you'xiang'gai'zhuan'jie'pan 油箱盖转接盘
'you'xuan'tong'luo'mu 右旋铜螺母
'you'yao'bi 右摇臂
'you'yuan'qiang'ban 右圆墙板
'you'zhao'ke 右罩壳
'you'zhou'cheng'gai 右轴承盖
'you'zhou'cheng'zuo'jie'he'jian 右轴承座结合件
'you'zhuan'pan 右转盘
'yu'jiao'zhun'hu'ban'dian'kuai 预校准护板垫块
'yu'liu'an'zhuang'zuo 预留安装座
'yu'mi'xi'dao 玉米铣刀
'yu'shuo 育硕
'yuan'ban'ya 圆板牙
'yuan'dao'tao 圆刀套
'yuan'gang 圆钢
'yuan'hu'cao'dao'pian 圆弧槽刀片
'yuan'jian'guan'feng'tao 元件灌封套
'yuan'ju'bu'xiu'gang'you 圆锯不锈钢油
'yuan'ju'gang'shua 圆锯钢刷
'yuan'luo'zhu 圆螺柱
'yuan'mu 圆母
'yuan'pan 圆盘
'yuan'tou'gai 圆透盖
'yuan'ye'guan'dao'san'tong 原液管道三通
'yuan'zhu'wai'ke 圆柱外壳
'yuan'zhu'xiao 圆柱销
'yuan'zhui'cuo 圆锥锉
'yuan'zi'hui 原子灰
'yun'ji'jia'da'zhong'xin'jia 云机加大中心架
'zhan'gou 粘钩
'zhang'jin'lun'xin'zhou'jie'he'jian 张紧轮芯轴结合件
'zhang'jin'lun'zhou 涨紧轮轴
'zhe'wan'fei 折弯费
'zhen'chi'ke 针齿壳
'zhen'jiang'tong'zhu 镇江铜柱
'zhen'kong'beng'fa'lan'jie'tou 真空泵法兰接头
'zhen'kong'fen'liu'ban 真空分流板
'zhen'kong'fen'qi'kuai 真空分气块
'zhen'kong'guan'gu'ding 真空管固定
'zhen'shi'da'yin'ji'se'dai 针式打印机色带
'zhen'xing'fa'ti 针型阀体
'zhen'xing'fa'zuo 针型阀座
'zhen'zhu'mian 珍珠棉
'zheng'liu'qi'mu'ju 整流器模具
'zheng'ti'he'jin'jiao'dao 整体合金绞刀
'zheng'ti'he'jin'jiao'dao 整体合金铰刀
'zheng'ti'he'jin'nei'leng'zuan'tou 整体合金内冷钻头
'zheng'ti'he'jin'yan'wei'cao'xi'dao 整体合金燕尾槽铣刀
'zheng'ti'he'jin'zhi'cao'jiao'dao 整体合金直槽铰刀
'zheng'ti'he'jin'zhi'zuan 整体合金直钻
'zheng'ti'he'jin'zuan'tou 整体合金钻头
'zheng'xing'ke'ji'gu'fen'you'xian'gong'si 正星科技股份有限公司
'zheng'zhou'chen'tong'ji'xie'she'bei 郑州宸通机械设备
'zheng'zhou'chi'cheng'dian'qi 郑州驰诚电气
'zheng'zhou'hong'da'fang'zhi'ji'xie 郑州宏大纺织机械
'zheng'zhou'hua'ke'zi'dong'hua 郑州华科自动化
'zheng'zhou'hui'cheng'ji'xie'zhi'zao 郑州汇铖机械制造
'zheng'zhou'ji'xie'yan'jiu'suo 郑州机械研究所
'zheng'zhou'jia'zhong'qi'che'dian'zi'ke'ji 郑州加众汽车电子科技
'zheng'zhou'ke'pu'si'ji'xie'she'bei 郑州科普斯机械设备
'zheng'zhou'peng'tuo'jin'shu'zhi'pin 郑州鹏拓金属制品
'zheng'zhou'san'hui'dian'qi'gu'fen 郑州三晖电气股份
'zheng'zhou'yi'wang'ji'xie'she'bei 郑州亿旺机械设备
'zheng'zhou'yu'shuo'ji'dian'she'bei 郑州育硕机电设备
'zheng'zhou'zhi'shi'chang'yun'ke'ji 郑州治世长云科技
'zheng'zhou'zhong'yuan'an'lun'gong'cheng 郑州中远氨纶工程
'zhi'bing'chao'chang'zuan 直柄超长钻
'zhi'bing'ji'yong'jiao'dao 直柄机用铰刀
'zhi'bing'jia'chang'jian'xi'dao 直柄加长键铣刀
'zhi'bing'jia'chang'li'xi'dao 直柄加长立铣刀
'zhi'bing'jian'cao'xi'dao 直柄键槽铣刀
'zhi'bing'li'xi'dao 直柄立铣刀
'zhi'bing'xing'xi'dao 直柄型铣刀
'zhi'cheng'ban 支撑板
'zhi'cheng'ban'er 支撑板二
'zhi'cheng'ban'yi 支撑板一
'zhi'cheng'fang'guan 支撑方管
'zhi'cheng'han'zhuang 支撑焊装
'zhi'cheng'huan'xing 支撑环型
'zhi'cheng'jia 支撑架
'zhi'cheng'jie'he'jian 支撑结合件
'zhi'cheng'jie'he'ti 支撑结合体
'zhi'cheng'tiao 支撑条
'zhi'cheng'zuo'jie'he'jian 支撑座结合件
'zhi'cheng'zuo'xing 支撑座型
'zhi'jia 支架
'zhi'jia'jie'he'jian 支架结合件
'zhi'neng'zhong'duan'chuan'gan'qi'qiang'ti 智能终端传感器腔体
'zhi'neng'zhong'duan'jie'gou'ti 智能终端结构体
'zhi'neng'zhong'duan'lian'jie'luo'si 智能终端连接螺丝
'zhi'neng'zhong'duan'ya'huan 智能终端压环
'zhi'rong'bai'jie'bu 植绒百洁布
'zhi'rong'sha'zhi 植绒砂纸
'zhi'tao 支套
'zhi'tong'jie'tou 直通接头
'zhi'tui 支腿
'zhi'tui'dian 止退垫
'zhi'tui'huan 止退环
'zhi'xiang 纸箱
'zhi'xiang'dian'pian 纸箱垫片
'zhi'xiang'ka'ge 纸箱卡格
'zhi'zhen'bai'fen'biao 指针百分表
'zhi'zhu 支柱
'zhi'zhuan'kuai 止转块
'zhi'zuo 支座
'zhi'zuo'jie'he'jian 支座结合件
'zhong'chu'neng 中储能
'zhong'jian'guo'du'jia 中间过渡架
'zhong'jian'guo'du'jie'tou 中间过渡接头
'zhong'jian'jie'tou 中间接头
'zhong'jian'wei'zuan'gan'xian'wei'tuo'jia 中间位钻杆限位托架
'zhong'jian'zhi'tui 中间支腿
'zhong'kong'dian'ji'zuo 中空电机座
'zhong'xin'chu'shui'guo'lv'dai 中心出水过滤袋
'zhong'xin'ding'wei'tao 中心定位套
'zhong'xin'zhou 中心轴
'zhong'xin'zuan 中心钻
'zhou'cheng 轴承
'zhou'cheng'an'zhuang'gong'zhuang'er 轴承安装工装二
'zhou'cheng'an'zhuang'gong'zhuang'yi 轴承安装工装一
'zhou'cheng'an'zhuang'zuo 轴承安装座
'zhou'cheng'dang'quan 轴承挡圈
'zhou'cheng'duan'gai'er 轴承端盖二
'zhou'cheng'duan'gai'yi 轴承端盖一
'zhou'cheng'gai 轴承盖
'zhou'cheng'jia 轴承架
'zhou'cheng'tao 轴承套
'zhou'cheng'ya'ban 轴承压板
'zhou'cheng'ya'huan 轴承压环
'zhou'cheng'zhi'jia'jie'he'jian 轴承支架结合件
'zhou'cheng'zhi'zuo'jie'he'jian'gai'zao 轴承支座结合件改造
'zhou'cheng'zuo 轴承座
'zhou'cheng'zuo'an'zhuang'ban 轴承座安装板
'zhou'cheng'zuo'ce'ban 轴承座侧板
'zhou'cheng'zuo'di'zuo 轴承座底座
'zhou'cheng'zuo'duan'gai 轴承座端盖
'zhou'cheng'zuo'lian'jie'zuo 轴承座连接座
'zhou'cheng'zuo'tao'tong 轴承座套筒
'zhou'dian'chi 轴电池
'zhou'dian'ji'an'zhuang'jia 轴电机安装架
'zhou'duan'gai 轴端盖
'zhou'gan'gu'ding'kuai 轴杆固定块
'zhou'gu'ding'fa'lan 轴固定法兰
'zhou'huan'chong'dian 轴缓冲垫
'zhou'huan'chong'gu'ding'kuai 轴缓冲固定块
'zhou'jia'you'zuo 轴加油座
'zhou'jie'jin'kai'guan'dian'kuai 轴接近开关垫块
'zhou'mi'feng'zu'jian 轴密封组件
'zhou'shang'xian'wei 轴上限位
'zhou'tao 轴套
'zhou'tong'fa'lan 轴筒法兰
'zhou'wa 轴瓦
'zhou'xia'xian'wei 轴下限位
'zhou'xian'wei'kuai 轴限位块
'zhou'you'xian'wei'kuai 轴右限位块
'zhou'zhi'xian'du'gong'zhuang 轴直线度工装
'zhou'zhu'you'kuai 轴注油块
'zhou'zhuan'kuang 周转筐
'zhou'zhuan'xiang 周转箱
'zhou'zou'xian'dian'ban 轴走线垫板
'zhou'zuo'xian'wei'kuai 轴左限位块
'zhu'beng'ti 主泵体
'zhu'beng'ti'ni'shi'zhen 主泵体逆时针
'zhu'dong'shang'tao'guan 主动上套管
'zhu'dong'zhou 主动轴
'zhu'dong'zuan'gan 主动钻杆
'zhu'gong'jiao 铸工胶
'zhu'pen'tou'tiao'zheng'ban'you 主喷头调整板右
'zhu'pen'tou'tiao'zheng'ban'zuo 主喷头调整板左
'zhu'qiang'ti 主腔体
'zhu'sai'beng 柱塞泵
'zhu'ti 柱体
'zhu'ti'chu'kou'ban 主体出口板
'zhu'ti'chu'liao'ban 主体出料板
'zhu'ti'jin'kou'ban 主体进口板
'zhu'ti'jin'liao'ban 主体进料板
'zhu'tie'han'tiao 铸铁焊条
'zhu'xiao 柱销
'zhu'xiao'tao 柱销套
'zhu'xuan'yi'zhou'tao'tong 主旋翼轴套筒
'zhu'zhou'gu'ding'ban 主轴固定板
'zhu'zhou'gua'shui'ban 主轴刮水板
'zhu'zhou'la'zhao 主轴拉爪
'zhu'zhou'you 主轴油
'zhuan'dong'ba'zhao'pa'chi 转动耙爪耙齿
'zhuan'huan'tao'guo'du'tao'tao'tong 转换套过渡套套筒
'zhuan'huan'zuo'jie'tou 转换座接头
'zhuan'huan'zuo'luo'mu 转换座螺母
'zhuan'jie'ban 转接板
'zhuan'jie'tao 转接套
'zhuan'jie'tou 转接头
'zhuan'tai'dao'gui'xian'wei'kuai 转台导轨限位块
'zhuan'tai'gu'ding'ban 转台固定板
'zhuan'tai'jia'ju'suo'jin'luo'ding 转台夹具锁紧螺钉
'zhuan'tai'qing'xi'gong'zhuang 转台清洗工装
'zhuan'tai'xian'wei'dang'kuai 转台限位挡块
'zhuan'tai'xian'wei'huan'chong'kuai 转台限位缓冲块
'zhuan'tai'zhi'cheng'zhu 转台支撑柱
'zhuan'xiang'lun 转向轮
'zhuan'zhou 转轴
'zhuan'zhou'tao 转轴套
'zhuan'zhou'zhi'cheng'zuo 转轴支撑座
'zhuan'zhou'zuo 转轴座
'zhuan'zuo'dian'lan'zhi'jia 转座电缆支架
'zhuan'zuo'jiao'guan'zhi'jia 转座胶管支架
'zhuang'ding'xian 装订线
'zhuang'kuai 撞块
'zhui'bing'chao'chang'zuan 锥柄超长钻
'zhui'bing'xi'dao 锥柄铣刀
'zhui'bing'zuan'jie'gan 锥柄钻接杆
'zhui'chang'zuan 锥长钻
'zhui'chi'lun 锥齿轮
'zhui'du'xin'zhou 锥度芯轴
'zhui'kong'tao 锥孔套
'zhui'tao 锥套
'zhui'xiao 锥销
'zhui'zuan 锥钻
'zi'bang 紫棒
'zi'dong'gai'mao'gong'zhuang 自动盖帽工装
'zi'feng'dai 自封袋
'zi'gong'luo'tao 自攻螺套
'zi'jin'zuan'jia'tou 自紧钻夹头
'zi'ma 字码
'zi'pen'jiao 自喷胶
'zi'pen'qi 自喷漆
'zi'tong 紫铜
'zi'tong'ban 紫铜板
'zi'tong'bang 紫铜棒
'zi'xi'beng 自吸泵
'zi'zhi'tai'qian'ling'jian 自制台钳零件
'zi'zhuan'ka'zhao'zhi'jia 自转卡爪支架
'zong'shua 棕刷
'zong'xiang'fa'lan'er 纵向法兰二
'zong'xiang'fa'lan'yi 纵向法兰一
'zong'zhong 总重
'zou'si'qi'hua'kuai 走丝器滑块
'zou'si'qi'jia'jin'kuai 走丝器夹紧块
'zou'si'qi'qiao'ti 走丝器壳体
'zou'zhu'bi 走珠笔
'zu'dang'qi 阻挡器
'zu'he'kai'guan 组合开关
'zuan'dao'gan 钻刀杆
'zuan'dao'pian 钻刀片
'zuan'ding'xin'zuan 钻定心钻
'zuan'gan'dang'ban 钻杆挡板
'zuan'gan'luo'wen'tou 钻杆螺纹头
'zuan'gan'wei'yi'zhi'jia 钻杆位移支架
'zuan'gan'xiang'ji'xie'shou'gu'ding'jia 钻杆箱机械手固定架
'zuan'gan'xiang'ji'xie'shou'huo'dong'hu'ban 钻杆箱机械手活动弧板
'zuan'huang 钻簧
'zuan'jia'tou 钻夹头
'zuan'ka'tou'shou'dian'zuan'pei'jian 钻卡头手电钻配件
'zuan'shi'ji'jia'dao'pian 钻石机夹刀片
'zuan'tou 钻头
'zuan'tou'bu'xiu'gang 钻头不锈钢
'zuan'tou'jia'chang 钻头加长
'zuan'tou'zheng'ti'he'jin 钻头整体合金
'zuan'yuan'zhuang'luo'si 钻原装螺丝
'zuo'bi 左臂
'zuo'er'kuai 左耳块
'zuo'la'gan 左拉杆
'zuo'la'shou'zhi'jia 左拉手支架
'zuo'qu'gui 左曲轨
'zuo'yao'bi 左摇臂
'zuo'you'ding'dao'pan 左右定刀盘
'zuo'you'lian'jie'fa'lan 左右连接法兰
'zuo'you'zhi'jia 左右支架
'zuo'yuan'qiang'ban 左圆墙板
'zuo'zhao'ke 左罩壳
'zuo'zhou'cheng'zuo'jie'he'jian 左轴承座结合件
'zuo'zhuan'pan 左转盘
