'a'bao 阿宝
'yang'qi'zou'kai 扬旗奏凯
'yang'shen'dan 养神丹
'yang'sheng 阳生
'yang'sheng 阳盛
'yang'sheng'yin'shuai 阳盛阴衰
'yang'shi'qi'du 养尸奇毒
'yang'wei 扬威
'yang'xing'mo'fa'gong'ji'zhuan'zhi'liao'mei'ceng 阳性魔法攻击转治疗每层
'yang'xing'shang'hai'mei'ceng 阳性伤害每层
'yang'xing'xue'qiu 阳性血球
'yang'xing'yi'shang 阳性易伤
'yang'xu 阳虚
'yang'yan 阳炎
'yang'yan 阳焰
'yang'yan 阳焱
'yang'yang'bian'shen 羊羊变身
'yang'yi 阳意
'yang'yi'fei'de'shang'shi 杨逸飞的赏识
'yang'you'chen'de'xian'qi 杨友辰的嫌弃
'yang'zhi'dun 阳之盾
'yang'zhi'gan'lu 杨枝甘露
'yang'zhi'yu 阳之御
'yang'zhuo 阳灼
'yang'zhuo'zhi'hu 阳浊之护
'yang'zhuo'zhi'ji 阳浊之疾
'yao'bao'bao'ju'gao'gao 要抱抱举高高
'yao'chen 爻辰
'yao'chi'cai 要吃菜
'yao'chi'fan 要吃饭
'yao'chun'zhi'sui 遥春知岁
'yao'du 药毒
'yao'he'jiu 要喝酒
'yao'he'shui 要喝水
'yao'jing'chen'you 瑶境宸游
'yao'li 药理
'yao'li'hui'fu'zhong 妖力恢复中
'yao'ning'shuang 杳凝霜
'yao'qi'shou 摇旗手
'yao'qian 摇签
'yao'rao'mei'li 妖娆魅力
'yao'si 遥思
'yao'tiao'shu'nv 窈窕淑女
'yao'wu'guo'min 药物过敏
'yao'wu'nai'shou 药物耐受
'yao'yan'hu'xin'qi'jin'qiang 腰眼护心气劲强
'yao'yan'hu'xin'qi'jin'ruo 腰眼护心气劲弱
'yao'yan'hu'xin'xiao'guo'qiang 腰眼护心效果强
'yao'yan'hu'xin'xiao'guo'ruo 腰眼护心效果弱
'yao'yan'jin'guang 耀眼金光
'yao'yao 瑶瑶
'yao'yao'de'fen'nu 瑶瑶的愤怒
'yao'yao'kun 瑶瑶鲲
'yao'ye 摇曳
'yao'yi'xin'zhao 遥以心照
'ye'ban'zi'shi 夜半子时
'ye'bing 曳兵
'ye'cha 夜叉
'ye'cha'fa'xiang'gong'fa 夜叉法相功法
'ye'cha'fa'xiang'hu'ti 夜叉法相护体
'ye'cha'fa'xiang'nei'li'wen'luan 夜叉法相内力紊乱
'ye'cha'fa'xiang'xin'fa 夜叉法相心法
'ye'cha'fa'xiang'ye 夜叉法相业
'ye'cha'fa'xiang'zui'yin 夜叉法相罪印
'ye'cha'fu'le 夜叉浮乐
'ye'cha'ming'wang'xiang 夜叉明王相
'ye'cha'tan'hai 夜叉探海
'ye'cha'tan'hai'jue 夜叉探海诀
'ye'cha'tan'hai'jue'liu'xue 夜叉探海诀流血
'ye'cha'tan'hai'jue'shui'xia'biao'ji 夜叉探海诀水下标记
'ye'cha'tan'hai'liu'xue 夜叉探海流血
'ye'cha'xin'fa 夜叉心法
'ye'cha'xin'fa'bao'zha 夜叉心法爆炸
'ye'cha'zhi'hun 夜叉之魂
'ye'cha'zhi'ji 夜叉之戟
'ye'cha'zhi'qu 夜叉之躯
'ye'chi'de'fei'xia'biao 叶驰的飞霞骠
'ye'gong 谒宫
'ye'guai'biao'ji'shang'xian'hou'hui'shan'chu 野怪标记上线后会删除
'ye'guai'jing'hun 野怪精魂
'ye'guang 曳光
'ye'guang'hua 夜光华
'ye'gui 夜归
'ye'guo 业果
'ye'hai'zui'fu 业海罪缚
'ye'hua 夜华
'ye'huo 业火
'ye'huo'chan'shen 业火缠身
'ye'huo'fen'cheng 业火焚城
'ye'huo'yu'jin 业火余烬
'ye'jiang'ge'dang 烨疆格挡
'ye'li 业力
'ye'li'jia'chi 业力加持
'ye'liu'ti 叶流体
'ye'luo'fei'hua 叶落飞花
'ye'luo'shi'qi'shi 叶落十七式
'ye'luo'tuo 野骆驼
'ye'man 业满
'ye'ming'sha 夜明沙
'ye'ming'sha 夜明砂
'ye'mu'ce'shi 夜幕测试
'ye'shang 夜殇
'ye'shen'qu 业身躯
'ye'shou'gan'zhi 野兽感知
'ye'si 夜思
'ye'tian 夜天
'ye'tu'ji'shu 野兔计数
'ye'wai'chui'diao 野外垂钓
'ye'wu'fan'mang 业务繁忙
'ye'wu'shu 叶舞术
'ye'xing 夜行
'ye'xing 曳星
'ye'xing'quan'yu 野性痊愈
'ye'xing'si'lie 野性撕裂
'ye'xing'wei'xiao 野性未消
'ye'xing'yi 夜行衣
'ye'xue 夜雪
'ye'yin 业因
'ye'yin'feng'lan 夜引风岚
'ye'ying'jian'fang'hu'zhao 曳影剑防护罩
'ye'ying'jian'gong'ming 曳影剑共鸣
'ye'yu 夜雨
'ye'zhang 业障
'ye'zhi'hei'nuo'mi 椰汁黑糯米
'ye'zhu'de'huan'ying 业主的欢迎
'yi'bi'dao 以彼道
'yi'bian'shi 异变始
'yi'bian'zhong 异变终
'yi'bing 疫病
'yi'bing'dun'jia 疑兵遁甲
'yi'bo'yun'tian 义薄云天
'yi'bo'yun'tian'zhan 义薄云天战
'yi'che'zhang'mu 一车障目
'yi'chen 逸尘
'yi'chen'bu'xu 逸尘步虚
'yi'chen'gong 逸尘攻
'yi'chong'chu'shi 一重初识
'yi'chong'cu'shi 一重粗识
'yi'chu'ji'fa 一触即发
'yi'chu'jian'qi 溢出剑气
'yi'chu'nei'li 溢出内力
'yi'chui'ding'yin 一锤定音
'yi'cun'chang'yi'cun'qiang 一寸长一寸强
'yi'dai'zong'shi 一代宗师
'yi'dao 驿道
'yi'dao'bing'chui 一刀柄锤
'yi'dao'feng'hou 一刀封喉
'yi'dao'feng'rui 一刀锋锐
'yi'dao'liu'dao'qi'zong'heng 一刀流刀气纵横
'yi'dao'liu'shang 一刀流伤
'yi'dao'liu'shen'fa 一刀流身法
'yi'dao'liu'yan 一刀流炎
'yi'dao'po'ye'ge 一刀破叶割
'yi'dao'po'zhu'ge 一刀破竹割
'yi'dong 移动
'yi'du'wu'gong 乙毒蜈蚣
'yi'duo 抑夺
'yi'gu'zuo'qi 一鼓作气
'yi'hen 遗恨
'yi'hua'jie'mu 移花接木
'yi'huo 疑惑
'yi'ji'xiao'lv'jia 一级小绿甲
'yi'jian'er'ge'kan'po 倚剑而歌看破
'yi'jian'jue 一剑诀
'yi'jian'jue'jin 一剑诀禁
'yi'jian'jue'liu'zhong 一剑诀六重
'yi'jian'jue'san'chong 一剑诀三重
'yi'jian'jue'si'chong 一剑诀四重
'yi'jian'jue'wu'zhong'kong 一剑诀五重空
'yi'jian'jue'wu'zhong'ming 一剑诀五重冥
'yi'jian'jue'yue'ying 一剑诀月影
'yi'jian'jue'yue'ying'qi'shou'shi 一剑诀月影起手式
'yi'jian'yi'ge 一箭一个
'yi'jian'zhen'shan'he 一剑镇山河
'yi'jin'jing 易筋经
'yi'jin'jing'can'pian 易筋经残篇
'yi'jin'jing'jin'gang'ti 易筋经金刚体
'yi'jin'jing'xing'xiu'deng'ji 易筋经星宿等级
'yi'jin'jing'xing'xiu'zhi'li 易筋经星宿之力
'yi'jue 医诀
'yi'jue'yun'tian 翼绝云天
'yi'jue'yun'tian'liu'xue'xiao'guo 翼绝云天流血效果
'yi'ku'yi'rong 亦枯亦荣
'yi'kuai'bing'qi'lin 一块冰淇淋
'yi'li'bu'dao 屹立不倒
'yi'li'chuan'de'yu 伊丽川的雨
'yi'liao'fei'long 抑疗飞龙
'yi'liao'wu'wo 抑疗无我
'yi'luan 意乱
'yi'ming'xiang'bo 以命相搏
'yi'mu'cao 异木草
'yi'ni'de'bang'zhu 衣旎的帮助
'yi'nu'zhi'ren 易怒之人
'yi'qi 意气
'yi'qi 益气
'yi'qi 遗弃
'yi'qi'shui 意气水
'yi'qi'wan 益气丸
'yi'qi'xiang'tou 义气相投
'yi'ran 易燃
'yi'ren'ren'wu 艺人任务
'yi'ri'zhi'qi 一日之期
'yi'ri'zhi'yue 翌日之约
'yi'rong 易容
'yi'rong'qian'xing 易容潜行
'yi'rong'shu'shen'tong 易容术沈同
'yi'rong'yao'gao 易容药膏
'yi'sha'zhi'sha 以杀止杀
'yi'shan 移山
'yi'shan'chu'jing 一闪初景
'yi'shan'guan'lan'zhen 依山观澜阵
'yi'shan'tian'zhu'yi'dong'ju'li'ji'lu 一闪天诛移动距离记录
'yi'shan'wu'hen 一闪无痕
'yi'shan'wu'hen'jian'kong'da'duan 一闪无痕监控打断
'yi'shang 一觞
'yi'shang 易伤
'yi'shang'jian'qi 一觞剑气
'yi'shang'yin'dao'biao'ji 一觞引导标记
'yi'she'ci'jian 翼蛇刺剑
'yi'she'jian 翼蛇剑
'yi'she'jiu'ri 羿射九日
'yi'shen'niu'jin 一身牛劲
'yi'shi'de'tu'jian 遗失的图笺
'yi'shi'huan'san 意识涣散
'yi'shi'huo'wu 遗失货物
'yi'shi'ji'neng'ji'shi 医师技能计时
'yi'shi'yi'zhi 意识抑制
'yi'shou'bi'you 异兽庇佑
'yi'shui 易水
'yi'shun'bing'zhuang 一瞬柄撞
'yi'si'fang'xiu 一死方休
'yi'su 移速
'yi'su'jiang'di 移速降低
'yi'su'ti'gao 移速提高
'yi'su'ti'gao'jia'qiang 移速提高加强
'yi'su'xie 一速鞋
'yi'su'zeng'jia 移速增加
'yi'sun 易损
'yi'tian 倚天
'yi'tong'fang'xiu 一痛方休
'yi'tong'jiang'hu 一统江湖
'yi'tong'jiang'hu'zhan 一统江湖战
'yi'wai'de'jing'xi 意外的惊喜
'yi'wang'chun 一汪春
'yi'wang'xi 忆往昔
'yi'wei 异味
'yi'wei'long'yun'gu 仪威龙韵鼓
'yi'xiang 异香
'yi'xin 一心
'yi'xin 绎心
'yi'xin'bao'lie'shi 异心暴烈湿
'yi'xin'bao'lie'zao 异心暴烈燥
'yi'xin'xiang'shan 一心向善
'yi'xing 缢刑
'yi'xing'xiang'chi 异星相斥
'yi'xue'meng'shi 以血盟誓
'yi'yang'zhi'fei'liao 一阳指废疗
'yi'yang'zhi'ning 一阳指凝
'yi'yang'zhi'xu'ruo 一阳指虚弱
'yi'yi 夷逸
'yi'yi'dai'lao 以逸待劳
'yi'yin 逸隐
'yi'yin'shui 逸隐水
'yi'ying'luo 移影落
'yi'yong 意涌
'yi'yu 异域
'yi'yuan 益元
'yi'yue 已阅
'yi'zeng 弋矰
'yi'zhai'guo'zi 已摘果子
'yi'zhan 疑战
'yi'zhen 意真
'yi'zhi'jian'ding 意志坚定
'yi'zhi'jie'mai 一指截脉
'yi'zhi'qian'jin 一掷千金
'yi'zhuang 易装
'yi'zu'tu'teng 异族图腾
'yin'bao 引爆
'yin'bao'zha'dan 引爆炸弹
'yin'bi 隐蔽
'yin'bing'jian 饮冰剑
'yin'bo'chong'ji 音波冲击
'yin'bo'gong 音波功
'yin'bo'hou 音波后
'yin'bo'hu'ti 音波护体
'yin'bo'qie'ge 音波切割
'yin'bo'shang 音波上
'yin'bo'xuan'yun 音波眩晕
'yin'bo'you 音波右
'yin'bo'zhi'shang'yang 音波之殇阳
'yin'bo'zhi'shang'yin 音波之殇阴
'yin'bo'zuo 音波左
'yin'cang 隐藏
'yin'cang'shen'fen 隐藏身份
'yin'cha'yang'cuo 阴差阳错
'yin'chan 音缠
'yin'che 音彻
'yin'chen 音尘
'yin'ding'zui 印定罪
'yin'dong'wo'xue 吟冬卧雪
'yin'dun 隐遁
'yin'dun 音盾
'yin'fang 引芳
'yin'feng'lei 引风雷
'yin'fu'ji 阴符祭
'yin'gua 阴卦
'yin'guo'de'zheng 因果得证
'yin'guo'fan'huan 因果返还
'yin'guo'zhi'yin 因果之印
'yin'han 阴寒
'yin'han'du'shi 银寒毒湿
'yin'han'du'zao 银寒毒燥
'yin'hen 印痕
'yin'hu'ni'zong 隐狐匿踪
'yin'hu'qi'bu 银狐七步
'yin'hua'nian 饮华年
'yin'hun 引魂
'yin'hun 阴魂
'yin'hun'huan'gu 引魂幻蛊
'yin'huo 阴火
'yin'huo'dan'zhuo'shao 阴火弹灼烧
'yin'huo'zhu 引火蛛
'yin'ji'er'jing 阴极而静
'yin'ji'lei'jin 阴极雷劲
'yin'jiang 饮江
'yin'jin 音尽
'yin'jin'di 引金镝
'yin'jiu 饮酒
'yin'lai'yun'ge 音籁云歌
'yin'lei 引雷
'yin'ling'ku'gong 引领苦工
'yin'ling'qin'qin 引领秦芹
'yin'long 隐龙
'yin'long'jue'xing'xiu'deng'ji 隐龙诀星宿等级
'yin'long'jue'xing'xiu'zhi'li 隐龙诀星宿之力
'yin'lu 引路
'yin'lv'gong 音律宫
'yin'lv'jiao 音律角
'yin'lv'shang 音律商
'yin'lv'yu 音律羽
'yin'lv'zheng 音律徵
'yin'ming'jing 印明镜
'yin'mo'sha'jin 阴魔杀劲
'yin'mo'ting'zui'jiu 饮莫停醉酒
'yin'ni 隐匿
'yin'ni'cao'cong 隐匿草丛
'yin'ni'guan'cha 隐匿观察
'yin'ni'shi'jing 隐匿市井
'yin'nu'ru'wei 引怒入危
'yin'qi'guo'sheng 阴气过剩
'yin'qiang'di 引羌笛
'yin'ran 引燃
'yin'ran 阴燃
'yin'ren 隐忍
'yin'ren'bu'fa 隐忍不发
'yin'ren'er'mu'luo'dao'shan'duo'shan'xing'ti'xing 引人耳目罗道山多扇形提醒
'yin'ren'er'mu'luo'dao'shan'shan'xing'ti'xing 引人耳目罗道山扇形提醒
'yin'ri 阴日
'yin'sen 阴森
'yin'sha 阴杀
'yin'shan'pai'mai'sheng'hui 阴山拍卖盛会
'yin'shan'shang'xian'mao'yi'qu 阴山商线贸易区
'yin'shang 引殇
'yin'shang 音伤
'yin'shen 隐身
'yin'shen'xian'jing 隐身陷阱
'yin'sheng'yang'shuai 阴盛阳衰
'yin'shi 阴蚀
'yin'shuang'zhi'ling 银霜之灵
'yin'si'qian'zhi 银丝千织
'yin'tuo'luo'de'ce'lue 因陀罗的策略
'yin'tuo'luo'de'hu'you 因陀罗的护佑
'yin'tuo'luo'de'sheng'ji 因陀罗的胜机
'yin'tuo'luo'de'yu'hui 因陀罗的迂回
'yin'tuo'luo'de'zhan'shu 因陀罗的战术
'yin'tuo'luo'mi'fa 因陀罗秘法
'yin'wu'zhe 隐舞者
'yin'xi 隐袭
'yin'xing'mo'fa'gong'ji'zhuan'zhi'liao'mei'ceng 阴性魔法攻击转治疗每层
'yin'xing'shang'hai'mei'ceng 阴性伤害每层
'yin'xing'xue'qiu 阴性血球
'yin'xing'yi'shang 阴性易伤
'yin'xu 阴虚
'yin'xue 饮血
'yin'yang'hu'dun 阴阳护盾
'yin'yang'huan'shu 阴阳幻术
'yin'yang'lun'zhuan 阴阳轮转
'yin'yang'ni'luan 阴阳逆乱
'yin'yang'ni'zhuan 阴阳逆转
'yin'yang'sheng'xi 阴阳生息
'yin'yang'shu'feng'zu 阴阳术封诅
'yin'yang'shu'fu'you'ling 阴阳术浮游灵
'yin'yang'shu'huo'ling'yun 阴阳术火灵陨
'yin'yang'shu'ji'yi'bu'zhi'huo 阴阳术极意不知火
'yin'yang'shu'jia'hu 阴阳术加护
'yin'yang'shu'jin 阴阳术禁
'yin'yang'shu'yan'luo'di'yu 阴阳术阎罗地狱
'yin'yang'shu'zhou'yin 阴阳术咒印
'yin'yang'tiao'he 阴阳调和
'yin'yang'wang'ji 阴阳往极
'yin'yang'xiang'chong 阴阳相冲
'yin'yang'xiang'sheng 阴阳相生
'yin'yang'xun'huan 阴阳循环
'yin'yang'yan'mie 阴阳湮滅
'yin'yang'yi'zhuan 阴阳易转
'yin'yang'zhen'yu'fu'mo 阴阳阵域伏魔
'yin'yang'zhen'yu'hui'chun 阴阳阵域回春
'yin'yang'zhen'yu'jian'ren 阴阳阵域坚韧
'yin'yang'zhen'yu'shou'lie 阴阳阵域狩猎
'yin'yang'zhen'yu'zhan'yi 阴阳阵域战意
'yin'yang'zhou'yin 阴阳咒印
'yin'yi 阴意
'yin'you 引诱
'yin'you 殷忧
'yin'yu 音域
'yin'yu'du 阴雨毒
'yin'yu'nan'huai 银羽南徊
'yin'yu'xue'hui 银羽雪辉
'yin'yuan'hui'de'jiang'li 隐元会的奖励
'yin'yuan'ling 印元灵
'yin'yuan'mi'ling 隐元秘令
'yin'yuan'xun'lu'shi 隐元巡路使
'yin'yuan'zhi'hu 隐元之护
'yin'yue'hua'de'hua'fen 银月花的花粉
'yin'yue'zhan 银月斩
'yin'yun 音韵
'yin'ze 引泽
'yin'zhang 音障
'yin'zhe 隐者
'yin'zhen 音震
'yin'zhi'fa'gu 印之罚锢
'yin'zhi'fa'jue 印之罚绝
'yin'zhi'fa'xue 印之罚血
'yin'zhi'yu 阴之御
'yin'zhu'qing'yun 银烛清韵
'yin'zhuo'zhi'hu 阴浊之护
'yin'zhuo'zhi'ji 阴浊之疾
'ying'cong 萦丛
'ying'di'dao'ji'shi 营地倒计时
'ying'dun 影遁
'ying'fu 影缚
'ying'fu'xiao'tong'pen 迎福小铜盆
'ying'gui 英诡
'ying'han 硬汉
'ying'hen 影痕
'ying'hui 影秽
'ying'huo'shou'xin 荧惑守心
'ying'jia 硬甲
'ying'jiao'zhu'de'guang 莹鲛珠的光
'ying'jie 影捷
'ying'jie'bu'xia 应接不暇
'ying'ke'yan 迎客宴
'ying'lin'bo 映鳞波
'ying'ling 英铃
'ying'liu'cha 莹流茶
'ying'long'yin'bai'long 影龙印白龙
'ying'long'yin'hei'long 影龙印黑龙
'ying'long'yin'jin'long 影龙印金龙
'ying'man'shui'ti 盈满水体
'ying'mi 影觅
'ying'ming 莺鸣
'ying'ming'liu'can'pian 莺鸣柳残片
'ying'mu 鹰目
'ying'que 盈缺
'ying'que'zhou 盈缺咒
'ying'ri 映日
'ying'ru'bai 荧入白
'ying'shen 影深
'ying'sheng 英声
'ying'shi'er'du 影释二度
'ying'sui 影随
'ying'tian'shou'ming 应天授命
'ying'xi 影息
'ying'xi 影袭
'ying'xi 盈汐
'ying'xie 盈榭
'ying'xing'shuo'mo'cui'xin 鹰行朔漠催心
'ying'xing'shuo'mo'zhi'feng 鹰行朔漠滞风
'ying'xiong'bu'qu 英雄不屈
'ying'xiong'hui'gui'liu'shi'lao'wan'jia'zhan'jie'chu'li 英雄回归流失老玩家战阶处理
'ying'xiong'jie'yi 英雄结义
'ying'xiu 盈袖
'ying'xue 迎雪
'ying'yan 鹰眼
'ying'yan'ke 鹰眼客
'ying'yan'xing 影焰行
'ying'yong 英勇
'ying'yu 影狱
'ying'yuan 应援
'ying'zhan 应战
'ying'zhao 鹰爪
'ying'zhao'gong 鹰爪功
'ying'zhao'zhen'qi 鹰爪真气
'ying'zhao'zhi'li 鹰爪之力
'ying'zhi 影滞
'ying'zi 影子
'yong'bai'hu 勇白虎
'yong'bao'zhong 拥抱中
'yong'chong'mu'biao 勇虫目标
'yong'han'dong'yue 永寒冬月
'yong'hui'er'ming 用晦而明
'yong'hui'ri 用晦日
'yong'hui'yue 用晦月
'yong'ji 佣击
'yong'jie 永结
'yong'meng 勇猛
'yong'qi 勇气
'yong'qing'long 勇青龙
'yong'quan'xue'hua'yao 涌泉穴花药
'yong'quan'xue'ji'han 涌泉穴积寒
'yong'ran'chuang'lie 永燃创裂
'yong'ran'qi'jin 永燃气劲
'yong'ran'zhi'huo're'du 永燃之火热度
'yong'ran'zhi'huo're'liang'fan'wei'nei 永燃之火热量范围内
'yong'ran'zhuo'shao 永燃灼烧
'yong'shang 俑殇
'yong'shang 甬伤
'yong'wu 勇武
'yong'xuan'wu 勇玄武
'yong'ye'jin'ge 永夜烬歌
'yong'yi 勇毅
'yong'yi'xue'wu 永遗血污
'yong'you'yi'jian'fu'zhu'zhuang'bei 拥有一件辅助装备
'yong'zhe'bu'ju 勇者不惧
'yong'zhi 勇鸷
'yong'zhi'li 涌之力
'yong'zhu'que 勇朱雀
'yong'zhui 永坠
'you'an'jian 犹按剑
'you'bian'gong'ji 右边攻击
'you'dao 右倒
'you'deng'dian'ran 油灯点燃
'you'deng'xi'mie 油灯熄灭
'you'dian'nian 有点黏
'you'du 幽都
'you'er'mu'biao 诱饵目标
'you'er'zhui'zong 诱饵追踪
'you'feng 游风
'you'feng'piao'zong 游风飘踪
'you'feng'piao'zong'ding'shen 游风飘踪定身
'you'feng'piao'zong'suo'zu 游风飘踪锁足
'you'feng'piao'zong'xuan'yun 游风飘踪眩晕
'you'guan'xie'dai 油罐携带
'you'han'jing 幽寒境
'you'he'qian'jiao 幽壑潜蛟
'you'hui 有悔
'you'huo 诱惑
'you'huo'shang 游货商
'you'ji 油迹
'you'jie'dao'xuan 犹解倒悬
'you'jin 游斤
'you'lan 游澜
'you'li'qu'tang'xia'cai'xian'cao 游历瞿塘峡采仙草
'you'li'xian'wai 游离险外
'you'li'zhu'fu 游历祝福
'you'long'dang'ying 游龙荡影
'you'long'shen'fa 游龙身法
'you'lu'ze 幽鹿泽
'you'luo'yin'xing'xiu'deng'ji 幽罗引星宿等级
'you'luo'yin'xing'xiu'zhi'li 幽罗引星宿之力
'you'meng'xian'zi 幽梦仙子
'you'ming 幽冥
'you'ming'can'po 幽明残魄
'you'ming'du'wu 幽冥毒雾
'you'ming'gong 幽冥功
'you'ming'gui'wu 幽溟鬼雾
'you'ni 油腻
'you'peng'zi'yuan'fang'lai 有朋自远方来
'you'qing'jian'zheng'ce'ma'tong'you 友情见证策马同游
'you'qing'jian'zheng'gan'dan'xiang'zhao 友情见证肝胆相照
'you'qing'jian'zheng'jiang'hu'xiang'feng 友情见证江湖相逢
'you'qing'jian'zheng'mo'ni'zhi'jiao 友情见证莫逆之交
'you'qing'jian'zheng'sheng'si'bu'li 友情见证生死不离
'you'qing'jian'zheng'xiang'jian'hen'wan 友情见证相见恨晚
'you'quan 幽泉
'you'quan'chuan'yun 幽泉穿云
'you'ran 悠然
'you'ren'de'shui'zhu'yu 诱人的水煮鱼
'you'ren'liu'huo 游刃流火
'you'ren'you'yu 游刃有余
'you'se'hua'yu 有色花雨
'you'sha'zhang'de'mu'biao 幽煞掌的目标
'you'shang 游商
'you'she'qi'bu 游蛇七步
'you'shen'bu 游身步
'you'shen'wan 游身丸
'you'sheng 佑圣
'you'shi 酉时
'you'shou 幼兽
'you'si 游丝
'you'si'fei'xu 游丝飞絮
'you'si'zhen'yue 游丝枕月
'you'tai'qing 游太清
'you'tao'luo'xiang 幽桃落香
'you'wei'dao 有味道
'you'wei'ye 幽微夜
'you'wu 油污
'you'wu'cheng'yun 游雾乘云
'you'wu'fu'ti 油污覆体
'you'xia 游侠
'you'xian 悠闲
'you'xian 游仙
'you'xian'de'nai'xin 有限的耐心
'you'xian'zi'de 悠闲自得
'you'xin 游心
'you'xing 攸行
'you'xu 游序
'you'ya 幼芽
'you'ya 有涯
'you'yan 幽焰
'you'yan'bu'duo'hun 幽燕步夺魂
'you'yan'bu'xue'ran 幽燕步血染
'you'yan'hen 幽焰恨
'you'yan'huo'hua 优艳火花
'you'yang'dan 有杨丹
'you'yang'dan'sheng'xi 有杨丹生息
'you'yang'xiao'yin 悠扬箫音
'you'ying'ying'shen 幽影应神
'you'you 有攸
'you'you'jiu'que 悠游九阙
'you'you'zi'ru 悠游自如
'you'yu 诱鱼
'you'yue 幽月
'you'yue'luan'hua 幽月乱花
'you'zai'you'zai 优哉游哉
'you'zhai'bi'chang 有债必偿
'you'zhai'bi'chang'jian'ben 有债必偿监本
'you'zhai'bi'chang'jiang'gong 有债必偿江贡
'you'zhai'bi'chang'xiu'wei 有债必偿修为
'you'zhai'bi'chang'zao'hua 有债必偿造化
'you'zhai'bi'hai 有债必还
'you'zi 幽姿
'you'zi 有子
'you'zi 游子
'yu'a'yu'cai'quan 与阿豫猜拳
'yu'ben'tu 御奔突
'yu'beng 玉崩
'yu'bo'jia'lan 御波驾澜
'yu'cha'tu'xi 鱼叉突袭
'yu'chan 玉蟾
'yu'chan'beng 玉蟾崩
'yu'chan'dan 玉蟾丹
'yu'chan'fu'ti 玉蟾附体
'yu'chan'xian'ji 玉蟾献祭
'yu'chan'yu 玉蟾御
'yu'chao'sheng 逾潮声
'yu'cheng'duan'gu 御城断股
'yu'cheng'dun 御城盾
'yu'cheng'ji 御城急
'yu'cheng'jing'zhun 御城精准
'yu'cheng'li 御城励
'yu'cheng'ling'yu 御城领域
'yu'cheng'mao 御城矛
'yu'cheng'pao'zhi 御城抛掷
'yu'cheng'shang 御城殇
'yu'cheng'shi 御城时
'yu'cheng'zhan'yi 御城战意
'yu'chi'yuan 御驰援
'yu'chong 驭虫
'yu'chu'qi'bao'lian'shen 御厨七宝链神
'yu'chu'qi'bao'lian'wei 御厨七宝链威
'yu'cui'lan'zhe 玉摧兰折
'yu'da'ba'jiao 雨打芭蕉
'yu'de'shui 鱼得水
'yu'deng'long 御灯龙
'yu'deng'pu'zhu'ren 鱼灯铺主人
'yu'deng'zhao'sui 鱼灯照岁
'yu'di 御敌
'yu'di'shui'jia'ting'luo'mei 玉笛谁家听落梅
'yu'di'shui'jia'ting'mei'luo 玉笛谁家听梅落
'yu'die 羽蝶
'yu'dong'feng'long'yao 御东风龙鹞
'yu'du 余毒
'yu'du'hu'dun 御毒护盾
'yu'er 鱼饵
'yu'fa'ba'shi'jian'wei'fan 御法八式剑尾返
'yu'fang'shou 御防守
'yu'fang'yu 愈防御
'yu'feng 御风
'yu'feng'er'xing 御风而行
'yu'feng'fei'xing 御风飞行
'yu'feng'hua'de'nv'wa'bu'tian 虞风华的女娲补天
'yu'feng'jue 御风诀
'yu'fu'huo 御符火
'yu'fu'lei 御符雷
'yu'gong 与共
'yu'gu 玉骨
'yu'hai 御海
'yu'hai'dao 御海刀
'yu'hai'dao'qi 御海刀气
'yu'han 余寒
'yu'he 愈合
'yu'hua 羽化
'yu'hua 雨华
'yu'hua'dan 玉华丹
'yu'huang 浴凰
'yu'huang'wang'mu'fan 御黄王母饭
'yu'hui'qu'ce 迂回驱策
'yu'huo 浴火
'yu'huo'chong'sheng 欲火重生
'yu'huo'chong'sheng 浴火重生
'yu'huo'er'sheng 欲火而生
'yu'huo'man'man 鱼获满满
'yu'huo'rou'lin 欲火蹂躏
'yu'ji 雨集
'yu'jian'ao'xue'zhan'yi 玉简傲血战意
'yu'jian'cang'jian 玉简藏剑
'yu'jian'dun'qiang 御箭盾墙
'yu'jian'fen'shan'jin 玉简分山劲
'yu'jian'fen'ying'sheng'jue 玉简焚影圣诀
'yu'jian'hua'jian'you 玉简花间游
'yu'jian'ling'hai'jue 玉简凌海诀
'yu'jian'ming'zun'liu'li'ti 玉简明尊琉璃体
'yu'jian'mo'wen 玉简莫问
'yu'jian'tian'luo'gui'dao 玉简天罗诡道
'yu'jian'tie'lao'lv 玉简铁牢律
'yu'jian'xiao'chen'jue 玉简笑尘诀
'yu'jian'yang'ming'zhi 玉简阳明指
'yu'jian'yu'feng 玉简驭风
'yu'jian'yun'shang'xin'jing 玉简云裳心经
'yu'jie 郁结
'yu'jin 余烬
'yu'jin 御劲
'yu'jin'bi'lei 御劲壁垒
'yu'jin'tong'yi 御劲统一
'yu'jing'ping 玉净瓶
'yu'jing'zhen'yi'huo 御境阵意火
'yu'jing'zhen'yi'jin 御境阵意金
'yu'jing'zhen'yi'mu 御境阵意木
'yu'jing'zhen'yi'shui 御境阵意水
'yu'jing'zhen'yi'tu 御境阵意土
'yu'kang 御抗
'yu'kong'feng'xing 御空风行
'yu'le'dou'si 于勒都丝
'yu'li'dan 玉璃丹
'yu'liao 愈疗
'yu'liao'xiao 愈疗效
'yu'lin'ling 雨霖铃
'yu'lin'tie'wei 御林铁卫
'yu'liu'jian 御流剑
'yu'liu'qi 御六气
'yu'long 御龙
'yu'long 雨龙
'yu'long'jiu'huan 御龙九寰
'yu'long'wu 鱼龙舞
'yu'lu'jiu 玉露酒
