'a'ba 阿爸
'kong'fu'hua'wen 空腹花纹
'kong'kong'kong'di 空空空地
'kong'qi'li'ren 空气利刃
'kong'qi'zhi'ren 空气之刃
'kong'shou'dao'wang 空手道王
'kong'shou'pi 空手劈
'kong'zhi'zhen'bao 空之镇宝
'kou'dai'hua 口呆花
'kou'ke 寇可
'ku'ao 库奥
'ku'bao 酷豹
'ku'ke'nuo 库克诺
'ku'ku'mian'ju 哭哭面具
'ku'liu'shui'lu 库流水路
'ku'ye'feng'bao 枯叶风暴
'kua'ke'chong'neng 夸克充能
'kuai'di'yuan 快递员
'kuai'long 快龙
'kuai'long'jin'hua'shi 快龙进化石
'kuai'quan'lang 快拳郎
'kuai'quan'lang'de'tang'guo 快拳郎的糖果
'kuai'shou'huan'ji 快手还击
'kuai'su'fang'shou 快速防守
'kuai'su'zhe'fan 快速折返
'kuan'dai 款待
'kuang'huan'lang'wu'ya 狂欢浪舞鸭
'kuang'meng'zhi'li 狂猛之力
'kuang'wu'hui'da 狂舞挥打
'kuang'you'tuan 矿诱团
'kui'jia'niao 盔甲鸟
'kui'jia'niao'de'yu'mao 盔甲鸟的羽毛
'kui'jia'niao'jin'hua'shi 盔甲鸟进化石
'kun'bang 坤邦
'kuo'xing'gong'si 阔星公司
'la'ba'ya 喇叭芽
'la'ba'ya'de'tang'guo 喇叭芽的糖果
'la'ba'ya'de'teng'wan 喇叭芽的藤蔓
'la'ba'zhuo'niao 喇叭啄鸟
'la'da 拉达
'la'di'ou'si 拉帝欧斯
'la'di'ou'si'de'dian'xin 拉帝欧斯的点心
'la'di'ou'si'jin'hua'shi 拉帝欧斯进化石
'la'di'ya'si 拉帝亚斯
'la'di'ya'si'de'dian'xin 拉帝亚斯的点心
'la'di'ya'si'jin'hua'shi 拉帝亚斯进化石
'la'gen 辣根
'la'gu'ji 拉谷吉
'la'ji'she'ji 垃圾射击
'la'ji'suo'yi 垃圾蓑衣
'la'jiang 辣酱
'la'jiao'jing'hua 辣椒精华
'la'la'zao 垃垃藻
'la'la'zao'de'sui'zao 垃垃藻的碎藻
'la'lu'la'si 拉鲁拉丝
'la'lu'la'si'de'diao'luo'wu 拉鲁拉丝的掉落物
'la'pu'la'si 拉普拉斯
'la'pu'la'si'de'tang'guo 拉普拉斯的糖果
'la'pu'la'si'de'yan'lei 拉普拉斯的眼泪
'lai'bei'cha 来悲茶
'lai'bei'cha'de'sui'pian 来悲茶的碎片
'lai'bei'cu'cha 来悲粗茶
'lai'dian'wang 来电汪
'lai'dian'wu 来电伍
'lai'xi'la'mu 莱希拉姆
'lai'xi'la'mu'de'dian'xin 莱希拉姆的点心
'lan'chan'chu 蓝蟾蜍
'lan'du 拦堵
'lan'duo 懒惰
'lan'e 蓝鳄
'lan'hua 蓝花
'lan'ka 蓝卡
'lan'mei'yi'zi 蓝莓椅子
'lan'mei'zhuo'jin 蓝莓桌巾
'lan'mu 蓝木
'lan'qi'zi'san'ming'zhi'qian 蓝旗子三明治签
'lan'qiu'guo 蓝球果
'lan'ren'ta 懒人獭
'lan'ren'ta'de'mao 懒人獭的毛
'lan'sa'guo 兰萨果
'lan'se'bo'li'shao 蓝色玻璃哨
'lan'se'ge'zi'yi'zi 蓝色格子椅子
'lan'se'ge'zi'zhuo'jin 蓝色格子桌巾
'lan'se'guang'chang 蓝色广场
'lan'se'he'xin 蓝色核心
'lan'se'hua'ban 蓝色花瓣
'lan'se'ka'na'li'wan'ou 蓝色卡娜莉玩偶
'lan'se'pan'zi 蓝色盘子
'lan'se'shui'bei 蓝色水杯
'lan'se'shui'hu 蓝色水壶
'lan'se'sui'pian 蓝色碎片
'lan'se'tou'jin 蓝色头巾
'lan'se'yi'zi 蓝色椅子
'lan'se'zhuo'jin 蓝色桌巾
'lan'shi 岚士
'lan'tang'hua 兰螳花
'lan'tian'shi'ban 蓝天石板
'lan'tiao'wen'de'yang'zi 蓝条纹的样子
'lan'wan 兰丸
'lan'wen'bu'xiu'gang'shui'hu 蓝纹不锈钢水壶
'lan'ya 蓝鸦
'lan'yu'mao 蓝羽毛
'lan'zhi'guang'die 蓝之光碟
'lan'zhi'shi'shang'ming'ren'ka 蓝之时尚名人卡
'lan'zhu'zhu'san'ming'zhi'qian 蓝珠珠三明治签
'lan'zi 岚子
'lan'zi'se'hua'mi 兰紫色花蜜
'lang'jie 廊街
'lao'ban 老板
'lao'nai'nai 老奶奶
'lao'weng'long 老翁龙
'lao'weng'long'jin'hua'shi 老翁龙进化石
'lao'ye'ye 老爷爷
'le'ba'guo 乐芭果
'le'ke'mao 勒克猫
'le'tian 乐天
'le'tian'bo'he 乐天薄荷
'le'tian'he'tong 乐天河童
'lei'dian'ban'ma 雷电斑马
'lei'dian'qiu'long 雷电囚笼
'lei'dian'quan 雷电拳
'lei'dian'shi'ban 雷电石板
'lei'dian'shou 雷电兽
'lei'dian'shou'jin'hua'shi 雷电兽进化石
'lei'dian'ya 雷电牙
'lei'dian'yun 雷电云
'lei'gong 雷公
'lei'gong'de'dian'xin 雷公的点心
'lei'gu'hai'gui 肋骨海龟
'lei'guan'wang 蕾冠王
'lei'ji 雷击
'lei'ji'ai'le'qi 雷吉艾勒奇
'lei'ji'ai'si 雷吉艾斯
'lei'ji'duo'la'ge 雷吉铎拉戈
'lei'ji'luo'ke 雷吉洛克
'lei'ji'qi'ka'si 雷吉奇卡斯
'lei'ji'si'qi'lu 雷吉斯奇鲁
'lei'lei'shi 垒磊石
'lei'ming'cu'ji 雷鸣蹴击
'lei'niao'hai'shou 雷鸟海兽
'lei'niao'long 雷鸟龙
'lei'qiu 雷丘
'lei'yan'wang'wang 泪眼汪汪
'lei'yan'xi 泪眼蜥
'lei'yi'bu 雷伊布
'lei'zhi'shi 雷之石
'leng'dong'gan'zao 冷冻干燥
'leng'gua'guo 棱瓜果
'leng'jiao'hua 棱角化
'leng'jing 冷静
'leng'jing'bo'he 冷静薄荷
'leng'jing'lei'she 棱镜镭射
'leng'jing'ta 棱镜塔
'leng'jing'zhi'zheng 冷静之证
'leng'jing'zhuang'jia 棱镜装甲
'leng'shui'hou 冷水猴
'leng'shui'yuan 冷水猿
'leng'xiao'hua 冷笑话
'li'cha 理查
'li'dong'sheng 离洞绳
'li'hai'diao'gan 厉害钓竿
'li'hai'er'sai 厉害耳塞
'li'hai'mi'a'lei'ge'lei'pai'bing 厉害密阿雷格雷派饼
'li'hai'shang'yao 厉害伤药
'li'hai'zhong'yao 厉害中药
'li'hua 丽华
'li'ka 莉卡
'li'li 莉丽
'li'li'ka 莉莉卡
'li'li'ke 莉莉可
'li'liang'bao'shi 力量宝石
'li'liang'fu'zhong 力量负重
'li'liang'hu'huai 力量护踝
'li'liang'hu'huan 力量互换
'li'liang'hu'wan 力量护腕
'li'liang'jing 力量镜
'li'liang'ping'fen 力量平分
'li'liang'qiang'hua 力量强化
'li'liang'shu'dai 力量束带
'li'liang'tang'guo 力量糖果
'li'liang'tou'dai 力量头带
'li'liang'xi'fa 力量戏法
'li'liang'yao'dai 力量腰带
'li'liang'zhuan'huan 力量转换
'li'mu'guo 利木果
'li'ou 利欧
'li'ou'bao 利欧宝
'li'ou'lu 利欧路
'li'ou'lu'de'mao 利欧路的毛
'li'qi 历奇
'li'qing'she'ji 沥青射击
'li'wang 里望
'li'wu 礼物
'li'xing'zhi'zheng 理性之证
'li'ya'yu 利牙鱼
'li'yu'wang 鲤鱼王
'li'yu'wang'de'lin'pian 鲤鱼王的鳞片
'li'yu'wang'de'tang'guo 鲤鱼王的糖果
'li'zhuang'ji 力壮鸡
'lian'dao'kui 镰刀盔
'lian'huan'ba'zhang 连环巴掌
'lian'ji'liu 连击流
'lian'jie'dui'zhan'de'gui'ze 连接对战的规则
'lian'jie'jiao'huan 连接交换
'lian'jie'you'wan 连接游玩
'lian'mao'xiao'tong 莲帽小童
'lian'pu'guo 莲蒲果
'lian'xi'sheng 联系绳
'lian'xu'gong'ji 连续攻击
'lian'xu'quan 连续拳
'lian'ye'tong'zi 莲叶童子
'lian'ye'tong'zi'de'ye'pian 莲叶童子的叶片
'lian'ye'tong'zi'pen'hu 莲叶童子喷壶
'lian'yi'xun'xiang 涟漪薰香
'lian'zhan 连斩
'liang'ji'long 凉脊龙
'liang'ji'long'de'lin'pian 凉脊龙的鳞片
'liang'liang'feng'bao 亮亮风暴
'liang'ren 两人
'liao'cao 疗草
'lie'ban'yu 猎斑鱼
'lie'huo'shen'yuan 烈火深渊
'lie'jian'ying 烈箭鹰
'lie'kong'zuo 烈空坐
'lie'kong'zuo'de'dian'xin 烈空坐的点心
'lie'que 烈雀
'lie'que'de'tang'guo 烈雀的糖果
'lie'tui'huang 烈腿蝗
'lie'yan'hou 烈焰猴
'lie'yan'jian'she 烈焰溅射
'lie'yan'ma 烈焰马
'lie'yao'lu'sha 烈咬陆鲨
'lie'yao'lu'sha'jin'hua'shi 烈咬陆鲨进化石
'lie'zhen'bing 列阵兵
'lie'zhen'bing'de'han 列阵兵的汗
'lie'zhen'bing'jin'hua'shi 列阵兵进化石
'lin'bie'li'wu 临别礼物
'lin'fen 鳞粉
'lin'huo 磷火
'lin'jia'long 鳞甲龙
'lin'pian'zao'yin 鳞片噪音
'lin'she 鳞射
'lin'tai'lang 凛太郎
'lin'zi 凛子
'ling'dang'xiang 铃铛响
'ling'dang'xiang'de'sui'pian 铃铛响的碎片
'ling'hua'qian'peng'peng 零花钱碰碰
'ling'hun'chong'ji 灵魂冲击
'ling'jie'zhi'bu 灵界之布
'ling'sao 灵骚
'ling'shou'xing'tai 灵兽形态
'ling'wen'shui'bei 菱纹水杯
'ling'wen'shui'hu 菱纹水壶
'ling'wen'yi'zi 菱纹椅子
'ling'wen'zhuo'jin 菱纹桌巾
'ling'xing'zao'xing 菱形造型
'ling'xiu'zhi'zheng 领袖之证
'ling'yi'mi 灵异迷
'ling'you'ma 灵幽马
'ling'you'ma'de'dian'xin 灵幽马的点心
'ling'yu'guo 零余果
'ling'zhi'mi'bao 零之秘宝
'liu'guang'chong'ji 琉光冲激
'liu'hong'da'dao 榴红大道
'liu'hong'qu 榴红区
'liu'liu'tang'qiu 溜溜糖球
'liu'liu'tang'qiu'de'mi 溜溜糖球的蜜
'liu'mang'e 流氓鳄
'liu'mei 琉美
'liu'sha'shen'yuan 流沙深渊
'liu'shi'guo 榴石果
'liu'shui'xuan'wu 流水旋舞
'liu'wei 六尾
'liu'wei'de'mao 六尾的毛
'liu'wei'de'tang'guo 六尾的糖果
'liu'xia'de'jing'ling'qiu 留下的精灵球
'liu'xing'de'yang'zi 流星的样子
'liu'xing'guang'shu 流星光束
'liu'xing'qun 流星群
'liu'xing'shan'chong 流星闪冲
'liu'xing'tu'ji 流星突击
'long'chui 龙锤
'long'cun'chu'die 龙存储碟
'long'e 龙颚
'long'huo'guo 龙火果
'long'jian 龙箭
'long'jing'guo 龙睛果
'long'juan'feng 龙卷风
'long'juan'feng'ka'fei'guan 龙卷风咖啡馆
'long'juan'yun 龙卷云
'long'long'shi 隆隆石
'long'long'yan 隆隆岩
'long'sheng 隆生
'long'sheng'gu'wu 龙声鼓舞
'long'tai'jing'sui'kuai 龙太晶碎块
'long'tou'di'shu 龙头地鼠
'long'tou'di'shu'jin'hua'shi 龙头地鼠进化石
'long'wang'xie 龙王蝎
'long'wei 龙尾
'long'xi 龙息
'long'xia'xiao'bing 龙虾小兵
'long'xia'xiao'bing'de'ke 龙虾小兵的壳
'long'zhi 隆治
'long'zhi'bao'shi 龙之宝石
'long'zhi'bo'dong 龙之波动
'long'zhi'fu'chong 龙之俯冲
'long'zhi'gu 龙之骨
'long'zhi'lin'pian 龙之鳞片
'long'zhi'nu 龙之怒
'long'zhi'shi'ban 龙之石板
'long'zhi'wu 龙之舞
'long'zhi'ya 龙之牙
'long'zhua 龙爪
'lu'di'shui'mu 陆地水母
'lu'ka'li'ou 路卡利欧
'lu'ka'li'ou'jin'hua'shi 路卡利欧进化石
'lu'li'li 露力丽
'lu'li'li'de'mao 露力丽的毛
'lu'nai'ya'la 露奈雅拉
'lu'nai'ya'la'de'dian'xin 露奈雅拉的点心
'lu'shang'xing'tai 陆上形态
'lu'ying'zu'he 露营组合
'luan'ji 乱击
'luan'liu 乱流
'luan'zhua 乱抓
'lun'chang 轮唱
'lun'hua'xie 轮滑鞋
'lun'qin'mao 伦琴猫
'luo'bo'zhong'zi 萝卜种子
'luo'ding'di'shu 螺钉地鼠
'luo'ding'di'shu'de'zhua'zi 螺钉地鼠的爪子
'luo'le 罗勒
'luo'lei'shou 落雷兽
'luo'lei'zhi'zheng 落雷之证
'luo'mei'guo 洛玫果
'luo'pai'bang 洛拍棒
'luo'qi'ya 洛奇亚
'luo'qi'ya'di'dian'xin 洛奇亚的点心
'luo'que'ka'fei'guan 罗雀咖啡馆
'luo'sai'ni 罗塞尼
'luo'sha 萝莎
'luo'shi 落石
'luo'si'lei'duo 罗丝雷朵
'luo'tuo'mu 洛托姆
'luo'tuo'mu'de'dian'li 洛托姆的电力
'luo'tuo'mu'de'yang'zi 洛托姆的样子
'luo'tuo'mu'hua'xiang 洛托姆滑翔
'luo'tuo'mu'xing'lu 洛托姆型录
'luo'tuo'mu'zi'xing'che 洛托姆自行车
'luo'xuan'wei'qi 螺旋尾鳍
'luo'ying'bin'fen 落英缤纷
'luo'zi'guo 罗子果
'lv'gang'long 铝钢龙
'lv'gang'long'de'xiu 铝钢龙的锈
'lv'gang'qiao'long 铝钢桥龙
'lv'mao'chong 绿毛虫
'lv'mao'chong'de'tang'guo 绿毛虫的糖果
'lv'qiu'guo 绿球果
'lv'se'guang'chang 绿色广场
'lv'se'he'xin 绿色核心
'lv'se'hua'ban 绿色花瓣
'lv'se'ka'na'li'wan'ou 绿色卡娜莉玩偶
'lv'se'pan'zi 绿色盘子
'lv'se'sui'pian 绿色碎片
'lv'se'tou'jin 绿色头巾
'lv'you 吕犹
'lv'yu'mao 绿羽毛
'lv'zhi'guo 履之国
'lv'zhu'zhu'san'ming'zhi'qian 绿珠珠三明治签
'ma'bi 麻痹
'ma'bi'fen 麻痹粉
'ma'bi'zhuang'tai 麻痹状态
'ma'er'ka'zhu 玛尔卡珠
'ma'hu 马虎
'ma'hu'bo'he 马虎薄荷
'ma'hua'quan 麻花犬
'ma'ji'ya'na 玛机雅娜
'ma'kong 玛空
'ma'li'en 玛莉恩
'ma'li'lu 玛力露
'ma'li'lu'li 玛力露丽
'ma'li'lu'qiu 玛力露球
'ma'lu 玛露
'ma'ma 妈妈
'ma'ma'ci'ci 麻麻刺刺
'ma'ma'dian'ji 麻麻电击
'ma'ma'man 麻麻鳗
'ma'ma'man'yu'wang 麻麻鳗鱼王
'ma'ma'man'yu'wang'jin'hua'shi 麻麻鳗鱼王进化石
'ma'ma'xiao'yu 麻麻小鱼
'ma'ma'xiao'yu'de'nian'ye 麻麻小鱼的黏液
'ma'mi 玛迷
'ma'na'fei 玛纳霏
'ma'nao'shui'mu 玛瑙水母
'ma'nao'shui'mu'de'tang'guo 玛瑙水母的糖果
'ma'nao'shui'mu'de'zhen 玛瑙水母的针
'ma'niu'la 玛狃拉
'ma'qi'ai'er 玛琪艾儿
'ma'qiu'si 玛丘斯
'ma'sai'er 马赛尔
'ma'sha'na 玛沙那
'ma'sha'na'de'han 玛沙那的汗
'ma'si'ka'tuo 马斯卡托
'ma'xia'duo 玛夏多
'ma'ya 麻雅
'ma'yi'zi 麻衣子
'ma'zhi'shi'de'qian'ming 马志士的签名
'man'chu 慢出
'man'fu'hua'wen 满腹花纹
'man'gan 蛮干
'man'li 蛮力
'man'mei'guo 蔓莓果
'man'pao'zhe 慢跑者
'man'qi'dong 慢启动
'man'shen'tang 满身糖
'man'teng'guai 蔓藤怪
'man'teng'guai'de'tang'guo 蔓藤怪的糖果
'man'tun'tun 慢吞吞
'man'tun'tun'bo'he 慢吞吞薄荷
'man'xiong 满雄
'mang'mang'guo 芒芒果
'mao'bian'yang 毛辫羊
'mao'lao'da 猫老大
'mao'mao'jiao'yang 毛毛角羊
'mao'pai'huo'de'yang'zi 冒牌货的样子
'mao'pi'da'yi 毛皮大衣
'mao'qiu 毛球
'mao'qiu'de'tang'guo 毛球的糖果
'mao'qiu'de'ya 毛球的牙
'mao'rong'rong 毛茸茸
'mao'sheng 茂盛
'mao'tou'xiao'ying 毛头小鹰
'mao'tou'xiao'ying'de'yu'mao 毛头小鹰的羽毛
'mao'tou'ye'ying 猫头夜鹰
'mao'xian'bi'ji 冒险笔记
'mao'xian'qiu 毛线球
'mao'ya'xie 毛崖蟹
'mao'ya'xie'bang 毛崖蟹棒
'mao'ya'xie'de'qian'zi 毛崖蟹的钳子
'mao'you'shao 猫鼬少
'mao'you'shao'de'mao 猫鼬少的毛
'mao'you'tan'zhang 猫鼬探长
'mao'you'zhan 猫鼬斩
'mao'you'zhan'de'zhua'zi 猫鼬斩的爪子
'mei'er'luo 梅尔萝
'mei'fa'sha'long 美发沙龙
'mei'guo'jiang 莓果酱
'mei'hai 美海
'mei'huo'zhi'sheng 魅惑之声
'mei'ji'zi 美季子
'mei'kong 美空
'mei'li 美里
'mei'li'da'shi'jiang'zhang 美丽大师奖章
'mei'li'de'di'fang 美丽的地方
'mei'li'hua 美丽花
'mei'li'kong'ke 美丽空壳
'mei'li'lin'pian 美丽鳞片
'mei'li'miao 魅力喵
'mei'li'zhi'yu 美丽之羽
'mei'ling 美玲
'mei'liu'guo 莓榴果
'mei'lu'mei'ta 美录梅塔
'mei'lu'tan 美录坦
'mei'lu'tan'de'tang'guo 美录坦的糖果
'mei'luo'ye'ta 美洛耶塔
'mei'mei 美美
'mei'mei'guo 莓莓果
'mei'na'si 美纳斯
'mei'ri'zhuo'yi 每日卓衣
'mei'sha'xi 美沙希
'mei'shi'xun'lian'jia 美食训练家
'mei'shi'zhi'zheng 美食之证
'mei'tan'gui 煤炭龟
'mei'tan'gui'de'mei'tan 煤炭龟的煤炭
'mei'wei'la'ji 美味垃圾
'mei'wei'wei'ba 美味尾巴
'mei'wei'zhi'shui 美味之水
'mei'xing 美星
'mei'you'zhi'sheng 魅诱之声
'mei'yu 美雨
'mei'zhi'zi 美智子
'meng'e'gu 猛恶菇
'meng'ge'xian'ren'zhang 梦歌仙人掌
'meng'hua 梦话
'meng'huan 梦幻
'meng'huan'de'tang'guo 梦幻的糖果
'meng'huo 猛火
'meng'huo'hou 猛火猴
'meng'jing'qiu 梦境球
'meng'lei'gu 猛雷鼓
'meng'meng 萌虻
'meng'meng'de'fen 萌虻的粉
'meng'meng'shi 梦梦蚀
'meng'ning'guo 檬柠果
'meng'pu 猛扑
'meng'tui 猛推
'meng'ya'lu 萌芽鹿
'meng'yan 梦魇
'meng'yao 梦妖
'meng'yao'de'yan'lei 梦妖的眼泪
'meng'yao'mo 梦妖魔
'meng'zhuang 猛撞
'meng'zi 梦子
'mi'a'lei'bian'dian'zhan 密阿雷变电站
'mi'a'lei'chu'zu'che 密阿雷出租车
'mi'a'lei'ge'lei'pai'bing 密阿雷格雷派饼
'mi'a'lei'ka'fei'guan'xie'hui 密阿雷咖啡馆协会
'mi'a'lei'mei'shu'guan 密阿雷美术馆
'mi'a'lei'nan'zhan 密阿雷南站
'mi'a'lei'nan'zhan'qian 密阿雷南站前
'mi'a'lei'shi 密阿雷市
'mi'a'lei'shi'dao'guan 密阿雷市道馆
'mi'a'lei'shi'mei'hua'yun'dong 密阿雷市美化运动
'mi'a'lei'shi'zheng'ting 密阿雷市政厅
'mi'a'lei'shou'hu'xie'hui 密阿雷守护协会
'mi'a'lei'xia'shui'dao 密阿雷下水道
'mi'a'lei'xia'shui'dao'ru'kou 密阿雷下水道入口
'mi'a'lei'yu'bao'ke'meng'diao'xiang 密阿雷与宝可梦雕像
'mi'bu'li'mu 迷布莉姆
'mi'bu'li'mu'de'diao'luo'wu 迷布莉姆的掉落物
'mi'chuan'zhi'yao 秘传之药
'mi'chun'jie 迷唇姐
'mi'chun'jie'de'tang'guo 迷唇姐的糖果
'mi'chun'wa 迷唇娃
'mi'fan 米饭
'mi'hun'quan 迷昏拳
'mi'ji'da'she 蜜集大蛇
'mi'le'dun 密勒顿
'mi'le'dun'de'qiu 密勒顿的球
'mi'li'long 米立龙
'mi'li'long'de'lin'pian 米立龙的鳞片
'mi'mi'hu'po 秘密琥珀
'mi'mi'yao'shi 秘密钥匙
'mi'mi'zhi'li 秘密之力
'mi'ni'bing 迷你冰
'mi'ni'fu 迷你芙
'mi'ni'fu'de'you 迷你芙的油
'mi'ni'long 迷你龙
'mi'ni'long'de'lin'pian 迷你龙的鳞片
'mi'ni'long'de'tang'guo 迷你龙的糖果
'mi'ni'qiu 谜拟丘
'mi'ni'qiu'de'can'pian 谜拟丘的残片
'mi'ren 迷人
'mi'ren'zhi'qu 迷人之躯
'mi'se'yi'zi 米色椅子
'mi'se'zhuo'jin 米色桌巾
'mi'sheng 弥生
'mi'tan'dou'peng 密探斗篷
'mi'xie'er 米歇尔
'mi'ye 弥叶
'mi'you'tuan 蜜诱团
'mi'yu 密语
'mi'zhi'guo 谜芝果
'mi'zhi'ping'guo 蜜汁苹果
'mi'zhi'shui'jing 谜之水晶
'mian'bao'zi 棉孢子
'mian'hua'fang'shou 棉花防守
'mian'mian'pao'fu 绵绵泡芙
'mian'tiao 面条
'mian'xu 棉絮
'mian'yi 免疫
'mian'ying'hui'ying 面影辉映
'miao'hui 描绘
'miao'miao 喵喵
'miao'miao 妙喵
'miao'miao'de'mao 喵喵的毛
'miao'miao'de'mao 妙喵的毛
'miao'miao'de'tang'guo 喵喵的糖果
'miao'rong 喵茸
'miao'tou'mu 喵头目
'miao'wa'cao 妙蛙草
'miao'wa'hua 妙蛙花
'miao'wa'hua'jin'hua'shi 妙蛙花进化石
'miao'wa'zhong'zi 妙蛙种子
'miao'wa'zhong'zi'de'tang'guo 妙蛙种子的糖果
'mie'li'yang 咩利羊
'mie'li'yang'de'mao'qiu 咩利羊的毛球
'mie'wang'zhi'qu 灭亡之躯
'min'jie'chong 敏捷虫
'min'jie'tang'guo 敏捷糖果
'ming'jing'yan'jing 名镜眼镜
'ming'lei'feng'bao 鸣雷风暴
'ming'li 明莉
'ming'liu 名流
'ming'ri'xiang 明日香
'ming'xiang 冥想
'ming'xiang 明香
'ming'yun'zhi'zheng 命运之证
'ming'zhong'qiang'hua 命中强化
'mo'deng'hua'wen 摩登花纹
'mo'fa'bao'chong 魔法暴冲
'mo'fa'fan'she 魔法反射
'mo'fa'fang'shou 魔法防守
'mo'fa'fen 魔法粉
'mo'fa'huo'yan 魔法火焰
'mo'fa'jing 魔法镜
'mo'fa'kong'jian 魔法空间
'mo'fa'shan'yao 魔法闪耀
'mo'fa'tian'xin'san'ming'zhi'qian 魔法甜心三明治签
'mo'fa'xing'xing'san'ming'zhi'qian 魔法星星三明治签
'mo'fa'ye 魔法叶
'mo'fang 模仿
'mo'fang'xiang'cao 模仿香草
'mo'gu'bao'zi 蘑菇孢子
'mo'hai'ma 墨海马
'mo'hai'ma'de'mo'zhi 墨海马的墨汁
'mo'hai'ma'de'tang'guo 墨海马的糖果
'mo'huan'jia'mian'miao 魔幻假面喵
'mo'li 磨砺
'mo'li'si 莫里丝
'mo'ling'shan'hu 魔灵珊瑚
'mo'lu'bei'ke 莫鲁贝可
'mo'lu'bei'ke'de'zhong'zi 莫鲁贝可的种子
'mo'lu'e 摩鲁蛾
'mo'mei'guo 墨莓果
'mo'mi'ji 茉蜜姬
'mo'mi'ji'diao'cha 茉蜜姬调查
'mo'mo'gu 蘑蘑菇
'mo'mo'gu'de'bao'zi 蘑蘑菇的孢子
'mo'ni'ni 魔尼尼
'mo'qiang'ren'ou 魔墙人偶
'mo'qiang'ren'ou'de'tang'guo 魔墙人偶的糖果
'mo'shu'shi 魔术师
'mo'te 模特
'mo'tuo'xi 摩托蜥
'mo'tuo'xi'de'lin'pian 摩托蜥的鳞片
'mo'ya'cai'pi'yu 磨牙彩皮鱼
'mo'ya'cai'pi'yu'de'ya'chi 磨牙彩皮鱼的牙齿
'mo'zhao 磨爪
'mou'mou'ru'lao 哞哞乳酪
'mou'mou'xian'nai 哞哞鲜奶
'mou'zhong'yang'zi 某种样子
'mu'cai 木材
'mu'chui 木槌
'mu'diao'wang'guan 木雕王冠
'mu'gen'gong'cheng 木根工程
'mu'jiao 木角
'mu'jing 沐净
'mu'ke'er 姆克儿
'mu'ke'er'de'yu'mao 姆克儿的羽毛
'mu'ke'niao 姆克鸟
'mu'ke'ying 姆克鹰
'mu'mian'qiu 木棉球
'mu'mian'qiu'de'mian'xu 木棉球的棉絮
'mu'mu'xiao 木木枭
'mu'nai'yi 木乃伊
'mu'ne'zhi'zheng 木讷之证
'mu'shou'gong 木守宫
'mu'tan 木炭
'mu'xia'li'shi 幕下力士
'mu'xia'li'shi'de'han 幕下力士的汗
'mu'yang'quan 墓扬犬
'mu'zai'gou 墓仔狗
'mu'zai'gou'de'la 墓仔狗的蜡
'mu'zhi'tu'ci 木枝突刺
'mu'zi'guo 木子果
'na'na 娜娜
'na'shi'cao 纳噬草
'na'shi'cao'de'zhi'tiao 纳噬草的枝条
'na'ta'li 娜塔莉
'nai'ke'luo'lu'nai'he'ti'qi 奈克洛露奈合体器
'nai'ke'luo'suo'er'he'ti'qi 奈克洛索尔合体器
'nai'ke'luo'zi'ma 奈克洛兹玛
'nai'ke'luo'zi'ma'de'dian'xin 奈克洛兹玛的点心
'nai're 耐热
'nai'xiang'bo'he 奶香薄荷
'nai'xiang'hong'zuan 奶香红钻
'nai'xiang'mo'cha 奶香抹茶
'nai'xiang'ning'meng 奶香柠檬
'nai'xiang'xiang'cao 奶香香草
'nai'xiang'xue'yan 奶香雪盐
'nai'yang 奈央
'nai'you'zhi'shi 奶油芝士
'nan'ce'da'dao 南侧大道
'nan'fu'wu'sheng 男服务生
'nan'gua'guai'ren 南瓜怪人
'nan'gua'jing 南瓜精
'nan'guo'bei'ke 南国贝壳
'nan'hai 男孩
'nao'he'zhi'li 脑核之力
'nao'yang 挠痒
'nei'lian 内敛
'nei'lian'bo'he 内敛薄荷
'neng'li'fang'shou 能力防守
'neng'li'ping'ding 能力评定
'neng'liang'dian 能量点
'neng'liang'qiu 能量球
'ni'ai 妮爱
'ni'ba'she'ji 泥巴射击
'ni'ba'yu 泥巴鱼
'ni'ba'zha'dan 泥巴炸弹
'ni'duo'hou 尼多后
'ni'duo'lan 尼多兰
'ni'duo'lan'de'tang'guo 尼多兰的糖果
'ni'duo'lang 尼多朗
'ni'duo'lang'de'tang'guo 尼多朗的糖果
'ni'duo'li'nuo 尼多力诺
'ni'duo'na 尼多娜
'ni'duo'wang 尼多王
'ni'hong'yu 霓虹鱼
'ni'ke'luo 尼克洛
'ni'lin 逆鳞
'ni'lv'zai 泥驴仔
'ni'lv'zai'de'ni'ba 泥驴仔的泥巴
'ni'ni'qiu 泥泥鳅
'ni'ni'qiu'de'nian'ye 泥泥鳅的黏液
'ni'ou'ju'ren 泥偶巨人
'ni'ou'xiao'ren 泥偶小人
'ni'ou'xiao'ren'de'sui'pian 泥偶小人的碎片
'ni'sheng'pen'wu 匿声喷雾
'ni'si 尼斯
'ni'tai 拟态
'ni'tan'kuai 泥炭块
'ni'wan 泥丸
'nian'hua 黏滑
'nian'li 念力
'nian'li'tu'ou 念力土偶
'nian'mei'er 黏美儿
'nian'mei'long 黏美龙
'nian'nian'bao 黏黏宝
'nian'nian'bao'de'nian'ye 黏黏宝的黏液
'nian'nian'wang 黏黏网
'nian'wan 黏丸
'nian'yu'wang 鲶鱼王
'nian'zhe 黏着
'niao'zui'jia'nong'pao 鸟嘴加农炮
'nie'sui 捏碎
'nin'xian'qing 您先请
'niu'la 狃拉
'niu'la'de'zhua'zi 狃拉的爪子
