'a'gan'hui 阿甘回
'ying'zhuo'shi 鹰啄式
'yong'hui'er'ming 用晦而明
'yong'ji'neng 用技能
'yong'jian 咏剑
'yong'jue 勇决
'yong'li'de'dao'la'jiao 用力地捣辣椒
'yong'qi 勇气
'yong'quan 涌泉
'yong'ran 永燃
'yong'ran'lie'yan 永燃烈焰
'yong'ran'yu'huo 永燃余火
'yong'ran'zhi'huo'e'huo 永燃之火恶火
'yong'ran'zhi'huo're'wen 永燃之火热温
'yong'xian'you'ming 永陷幽冥
'yong'ye'chen'lun 永夜沉沦
'yong'ye'jiang'lin 永夜降临
'yong'ye'jin'ge 永夜烬歌
'yong'yi 勇毅
'yong'yu 用御
'yong'yue'ge 永月歌
'yong'zhe'qi'chang 勇者气场
'yong'zhui'wu'jian 永坠无间
'you'an'jian 犹按剑
'you'an'jian'gong 犹按剑宫
'you'an'jian'jian'qi 犹按剑剑气
'you'an'jian'jiao 犹按剑角
'you'an'jian'shang 犹按剑商
'you'an'jian'yu 犹按剑羽
'you'an'jian'zheng 犹按剑徵
'you'ban 右扳
'you'chong'du'ye 幼虫毒液
'you'di 诱敌
'you'di'yi'xu 诱敌以虚
'you'dou'pan 幽都判
'you'fan 右翻
'you'fan'gun 右翻滚
'you'fang'hu'dun 友方护盾
'you'feng'bu 游风步
'you'feng'piao'zong 游风飘踪
'you'gao 油糕
'you'gou'quan 右勾拳
'you'gua'yi'qi'chi 有瓜一起吃
'you'guan'bao'zha 油罐爆炸
'you'guan'tou'zhi 油罐投掷
'you'han'jing 幽寒境
'you'huang'dao'ying 幽篁刀影
'you'huo'dan 油火弹
'you'jiang'wen'da 有奖问答
'you'jie'dao'xuan 犹解倒悬
'you'jin 右进
'you'jin 游斤
'you'jun 游君
'you'kan 右砍
'you'lan'qi'wu 游澜起舞
'you'lian'qi'zhan 幽怜气斩
'you'long 游龙
'you'long'bu 游龙步
'you'long'bu'duan'hun'ci 游龙步断魂刺
'you'long'bu'po'chong'wei 游龙步破重围
'you'long'bu'po'jian'zhen 游龙步破坚阵
'you'long'bu'ren'chi'cheng 游龙步任驰骋
'you'long'bu'zhan'ba'fang 游龙步战八方
'you'long'bu'zhui 游龙步坠
'you'long'qi'fa 游龙骑法
'you'lu'ze 幽鹿泽
'you'luo'yin 幽罗引
'you'meng'xian'zi'xi 幽梦仙子嬉
'you'ming 幽明
'you'ming'bu 幽冥步
'you'ming'du'wu 幽冥毒雾
'you'ming'dun'meng 幽冥盾猛
'you'ming'fan'shi 幽冥反噬
'you'ming'gu'wu 幽冥蛊雾
'you'ming'gui'bu 幽冥鬼步
'you'ming'jue'dao 幽冥绝刀
'you'ming'kui'yue 幽冥窥月
'you'ming'qi'jin 幽冥气劲
'you'ming'shan'dao 幽冥闪刀
'you'ming'shuang'ren 幽冥双刃
'you'ming'shuang'ren'kuang'bao 幽冥双刃狂暴
'you'ming'suo'lian 幽冥锁链
'you'ming'zhan'dao 幽冥斩刀
'you'ming'zhi 幽冥指
'you'ming'zhi'nu 幽冥之怒
'you'qing 右倾
'you'quan'bao'zha 油圈爆炸
'you'quan'chuan'yun 幽泉穿云
'you'quan'han'huo 幽泉寒火
'you'quan'han'yong 幽泉寒涌
'you'ren'you'yu 游刃有余
'you'se'hua'yu 有色花雨
'you'shan 右闪
'you'shen'wan 游身丸
'you'shen'yi'shan 游身一闪
'you'shen'zhi'han 幽深之寒
'you'sheng 幽声
'you'si'fei'xu 游丝飞絮
'you'si'zhen'yue 游丝枕月
'you'si'zhen'yue'wu'guan'ti 游丝枕月悟贯体
'you'tai'qing 游太清
'you'ti 右踢
'you'tian'chen'yuan 幽天沉渊
'you'tian'gui'xuan 幽天诡漩
'you'tian'hun'zang 幽天魂葬
'you'tian'jian'yu 幽天剑雨
'you'tian'kui'ji 幽天傀技
'you'tian'mo'lei 幽天墨雷
'you'tian'mo'yan 幽天墨焰
'you'tian'shuang'lei 幽天霜雷
'you'tian'shuang'yan 幽天霜焰
'you'tian'ting'nu 幽天霆怒
'you'tian'yan'shu 幽天偃术
'you'tian'ying'ji 幽天影击
'you'tian'ying'ji'zhe'mo'bao'fa 幽天影击折磨爆发
'you'tian'zang'hun 幽天葬魂
'you'tong'bao'zha 油桶爆炸
'you'wei'shi'po 幽微蚀魄
'you'wu 油污
'you'wu'cheng'yun 游雾乘云
'you'wu'lian 幽舞镰
'you'xi'gui'ze 游戏规则
'you'xian 悠闲
'you'xian 游仙
'you'xiang 犹香
'you'xin 游心
'you'xin'guan'ti 游心贯体
'you'ya 优雅
'you'ya 有涯
'you'yan'bu 幽燕步
'you'yan'bu'xue'ran 幽燕步血染
'you'yan'huo'hua 优艳火花
'you'yin'chen'ji 幽隐尘迹
'you'ying'ying'shen 幽影应神
'you'you 有攸
'you'you'jiu'que'cheng 悠游九阙承
'you'you'jiu'que'he 悠游九阙合
'you'you'jiu'que'zhuan 悠游九阙转
'you'you'zi'ru 优游自如
'you'yu 游羽
'you'yue'lun 幽月轮
'you'yue'lun'xuan'xiang 幽月轮悬象
'you'yue'po'mo'zhan 幽月破魔斩
'you'yun'cheng'wu 游云乘雾
'you'ze 游泽
'you'zha'rou'tiao 油炸肉条
'you'zhan 右斩
'you'zhu 佑主
'you'zhuan 右转
'you'zhuan'da'pao 右转大炮
'you'zi 幽姿
'you'zi'guan'ti 幽姿贯体
'yu'an'jin'mie'ling 御暗烬灭令
'yu'ben'tu 御奔突
'yu'cha'heng'sao 鱼叉横扫
'yu'cha'san'lian'chuo 鱼叉三连戳
'yu'cha'tu'xi 鱼叉突袭
'yu'cha'zong'pi 鱼叉纵劈
'yu'chan 玉蟾
'yu'chan'yin 玉蟾引
'yu'cheng'chong'ci 御城冲刺
'yu'cheng'duan'gu 御城断股
'yu'cheng'dun 御城盾
'yu'cheng'feng 御城锋
'yu'cheng'heng'sao 御城横扫
'yu'cheng'ji 御城急
'yu'cheng'ji 御城极
'yu'cheng'jing'zhun 御城精准
'yu'cheng'li 御城励
'yu'cheng'ling'yu 御城领域
'yu'cheng'mao 御城矛
'yu'cheng'pao'zhi 御城抛掷
'yu'cheng'shang 御城伤
'yu'cheng'shang 御城殇
'yu'chong 驭虫
'yu'chong'qi'shu 驭虫奇术
'yu'chu'gou'xian'jie 御厨勾涎戒
'yu'deng'you 鱼灯游
'yu'deng'zhao'sui'xi'xi 鱼灯照岁嬉戏
'yu'di'jian'yu 御敌箭雨
'yu'di'shui'jia'ting'luo'mei 玉笛谁家听落梅
'yu'diao'jiang'qiu 雨钓江秋
'yu'fa'ba'shi 御法八式
'yu'fa'ba'shi'jian'wei'fan 御法八式剑尾返
'yu'feng 余风
'yu'feng 御风
'yu'feng 羽风
'yu'feng'chi'lie 御风驰烈
'yu'feng'chi'lie'qing'ji 御风驰烈轻击
'yu'feng'chi'lie'zhong'ji 御风驰烈重击
'yu'feng'hua'xiang 御风滑翔
'yu'feng'jian 御风剑
'yu'feng'jian 御风箭
'yu'feng'yi'ji 御风一击
'yu'gu 玉骨
'yu'gu 裕蛊
'yu'guan'ti 羽贯体
'yu'hai'dao 御海刀
'yu'han 余寒
'yu'han'shuang 驭寒霜
'yu'han'ying'ri 余寒映日
'yu'hong'guan'ri 玉虹贯日
'yu'hong'yu'tian 御鸿于天
'yu'hua 羽化
'yu'huo'chan'rao 欲火缠绕
'yu'huo'er'ceng 狱火二层
'yu'huo'jian'ta 欲火践踏
'yu'huo'san'ceng 狱火三层
'yu'huo'si'ceng 狱火四层
'yu'huo'wu'ceng 狱火五层
'yu'huo'yi'ceng 狱火一层
'yu'huo'you'huan 狱火油环
'yu'ji 余悸
'yu'ji 羽击
'yu'ji 雨积
'yu'ji 雨集
'yu'ji'po 御击破
'yu'jian 羽箭
'yu'jian'ming'xiao 玉剑鸣霄
'yu'jian'yun'shang'xin'jing 玉简云裳心经
'yu'jin'bi'lei 御劲壁垒
'yu'jing'ping'xi 玉净瓶嬉
'yu'jing'ping'xi 玉净瓶戏
'yu'ju 欲拒
'yu'kang 御抗
'yu'kong'xiang'bo 御空翔波
'yu'kong'xiang'bo'zhui 御空翔波坠
'yu'lan 御澜
'yu'liao 愈疗
'yu'lin 御林
'yu'lin'ling 雨霖铃
'yu'lin'qiang'fa 羽林枪法
'yu'lin'tie'wei 御林铁卫
'yu'lin'xiang'yao 玉麟香腰
'yu'liu'jian 御流剑
'yu'liu'qi 御六气
'yu'long 御龙
'yu'long 欲聋
'yu'long 雨龙
'yu'long'dao'hai 玉龙蹈海
'yu'long'jiu'huan 御龙九寰
'yu'long'xie'jia 御龙卸甲
'yu'lou 鱼篓
'yu'lou'sheng'ge 玉楼笙歌
'yu'lu'wan 玉露丸
'yu'lu'xian'yin'cheng 玉露仙音承
'yu'lu'xian'yin'he 玉露仙音合
'yu'lu'xian'yin'zhuan 玉露仙音转
'yu'luan'lin'yuan'qian'deng 玉鸾临渊千灯
'yu'ma'ben'xi 御马奔袭
'yu'ma'shu 御马术
'yu'men'beng'cu 狱门崩殂
'yu'men'beng'cu'chuan 狱门崩殂穿
'yu'men'beng'cu'po 狱门崩殂破
'yu'men'beng'cu'suo 狱门崩殂锁
'yu'miao'gong'wu 与喵共舞
'yu'miao'tong'hang 与喵同行
'yu'miao'tong'le 与喵同乐
'yu'mo 雨墨
'yu'mu'feng 愈沐风
'yu'ni'fen'bie 与你分别
'yu'nian'zhi'jing 欲念之镜
'yu'po'jing'luan 玉魄惊鸾
'yu'qi 愈气
'yu'qi 雨起
'yu'qian'xing 御前星
'yu'qian'yin 玉签引
'yu'qiang 鱼枪
'yu'qiang'ji 御强击
'yu'qing'gu'zong 雨倾蛊纵
'yu'qing'jue 玉清诀
'yu'quan'yu'yue 玉泉鱼跃
'yu'rou'duan'gu'ji 淤肉断骨击
'yu'shan'lan'yun 玉山揽云
'yu'shang 愈伤
'yu'shen 玉身
'yu'shen'bing 羽神兵
'yu'sheng 余声
'yu'shi'ju'fen 玉石俱焚
'yu'shi'ju'fen'jue 玉石俱焚绝
'yu'shi'ju'fen'kuang'gu 玉石俱焚狂骨
'yu'shou 于狩
'yu'shou 驭兽
'yu'shu'lin'feng 玉树临风
'yu'shu'qiong'zhi 玉树琼枝
'yu'shuang 御霜
'yu'shui'die'qiao 遇水叠桥
'yu'shui'ji'dang 愈水激荡
'yu'si'lu'kun 愈丝路坤
'yu'si'lu'qian 愈丝路乾
'yu'si'lu'xun 愈丝路巽
'yu'su 玉素
'yu'sui'wa'quan 玉碎瓦全
'yu'teng 御腾
'yu'tian 御天
'yu'tian'ji 域天极
'yu'tou'he'xin'chu'fa 鱼头核心触发
'yu'tou'kong'zhong'xu'li 鱼头空中蓄力
'yu'wang 渔网
'yu'wang'sui'shan'quan 禹王碎山拳
'yu'wu 御侮
'yu'xi'lian'hua'deng 鱼戏莲花灯
'yu'xiang'gong'wu 与象共舞
'yu'xiang'rou'si 鱼香肉丝
'yu'xiao'ji 玉箫击
'yu'xiao'jian'fa 玉箫剑法
'yu'xiu'ling'yao 毓秀灵药
'yu'xue 浴血
'yu'xue'fan'shi 浴血反噬
'yu'xue'ling'long'xi 玉雪灵龙嬉
'yu'xue'qin'gu 浴血沁骨
'yu'xue'shui'ti 浴血水体
'yu'yan'gong'ji 语言攻击
'yu'yan'pao 玉燕抛
'yu'yan'pao'hui 玉燕抛回
'yu'yan'sha'gun 狱炎杀棍
'yu'yan'zhen'bao 余焰震爆
'yu'yao 驭耀
'yu'yi 于役
'yu'yi'guan'ti 于役贯体
'yu'yin 余音
'yu'yin'liao'rao 余音缭绕
'yu'yin'rao'liang 余音绕梁
'yu'yin'rao'liang'bei 余音绕梁悲
'yu'yin'rao'liang'xi 余音绕梁喜
'yu'ying 郁潆
'yu'yu'cheng'feng 驭羽骋风
'yu'yu'cheng'feng'hui 驭羽骋风回
'yu'zhang 羽彰
'yu'zhen 余震
'yu'zhen 玉枕
'yu'zhi'du 愈之毒
'yu'zhi'ma'la'xue'chang 御制麻辣血肠
'yu'zhi'suan'xiang'pai'gu 御制蒜香排骨
'yu'zhi'tang'cu'pai'gu 御制糖醋排骨
'yu'zhi'tong'chou 与之同仇
'yu'zhou 雨骤
'yu'zhu'chong'feng 驭猪冲锋
'yu'zhu'kuang'ben 驭猪狂奔
'yu'zhu'tu'jin 驭猪突进
'yu'zi'tong'chou 与子同仇
'yuan'ba'bu'fu'tu 怨八部浮屠
'yuan'bao'feng'chen'liu 怨暴风尘流
'yuan'bing 渊冰
'yuan'cai'ta 怨踩踏
'yuan'chen'shao 渊尘烧
'yuan'chong 渊冲
'yuan'ci'gu'feng'yin 怨刺骨风吟
'yuan'cu'e'ji 怨猝恶击
'yuan'di'piao 原地飘
'yuan'duan 缘断
'yuan'ge 援戈
'yuan'ge'xue'ying 援戈血影
'yuan'gong'jian 猿公剑
'yuan'gong'jian'fa 猿公剑法
'yuan'gong'jian'qi 猿公剑气
'yuan'han'tian'dong'di 怨撼天动地
'yuan'he 渊壑
'yuan'hu'an'ya'zhen 援护暗牙阵
'yuan'hu'kong'ya'zhen 援护空牙阵
'yuan'hu'pi 圆弧劈
'yuan'huang'quan'gui'bu 怨黄泉鬼步
'yuan'hui'long'yin 渊迴龙吟
'yuan'huo 元火
'yuan'huo'chang'ran 愿火长燃
'yuan'ji 元吉
'yuan'ji 怨击
'yuan'ji'chi 怨疾驰
'yuan'jing'zai'hu'qi'wu 愿景在壶起舞
'yuan'jue 缘觉
'yuan'jun 元君
'yuan'li'peng'pai 怨力澎湃
'yuan'liang'du'ye 元凉毒液
'yuan'ling'gui'xin'shu 元灵归心术
'yuan'liu'kuang'yong 源流狂涌
'yuan'liu'zhi'xin 源流之心
'yuan'long'juan'can'yun 怨龙卷残云
'yuan'long'po'xiao 渊龙破晓
'yuan'long'wang'zhao'ji 怨龙王爪击
'yuan'long'xiang'bo'nuo'gong 怨龙象波诺功
'yuan'mi 渊秘
'yuan'ming'ya'tu'ling'dao'fu'she'xian 源明雅土灵道符射线
'yuan'mu'tuo'luo 圆木陀螺
'yuan'mu'za'di 圆木砸地
'yuan'nian 怨念
'yuan'nian'yi'ji 怨念一击
'yuan'qi'man'yi 怨气满溢
'yuan'qi'xue'gui'yuan 怨气血归元
'yuan'shan'jian'qi 远山剑气
'yuan'shi'wu'lun'hui 怨尸舞轮回
'yuan'ta'xue'wu'hen 怨踏血无痕
'yuan'ting 渊渟
'yuan'wu'zhi'shi'cheng 圆舞之诗承
'yuan'wu'zhi'shi'he 圆舞之诗合
'yuan'wu'zhi'shi'qi 圆舞之诗起
'yuan'wu'zhi'shi'zhuan 圆舞之诗转
'yuan'xi 渊兮
'yuan'xing'ce'shi 圆形测试
'yuan'xing'zhi'liao'ce'shi 圆形治疗测试
'yuan'xue'chi'pen'fa 怨血池喷发
'yuan'xue'yin 怨雪引
'yuan'xue'zhui 怨雪锥
'yuan'yang'jian'niu'jin 鸳鸯煎牛筋
'yuan'yang'wu'zhen'hui 鸳鸯五珍烩
'yuan'yi 元一
'yuan'yong 垣墉
'yuan'yong'fa'che 垣墉伐掣
'yuan'yong'han'bo 垣墉撼波
'yuan'yuan'bu'jie 源源不竭
'yuan'yue 渊岳
'yuan'zui 原罪
'yuan'zui'fu'xue'shu 原罪缚穴术
'yue'bai 月白
'yue'beng 月崩
'yue'beng'ji 月崩击
'yue'can'hun'lie 月残魂裂
'yue'chao 跃潮
'yue'chao'zhan'bo 跃潮斩波
'yue'chong 月铳
'yue'chu'dong'shan 月出东山
'yue'chu'jing'shan 月出惊山
'yue'du'xing'han 月渡星汉
'yue'du'xing'han'zhui 月渡星汉坠
'yue'duo 月堕
'yue'fu 月符
'yue'fu'xian'zhou 月浮仙洲
'yue'guang'qu 月光曲
'yue'guang'shan 月光闪
'yue'hai'shi 跃海式
'yue'hai'shi'bo'lang 跃海式波浪
'yue'hai'shi'nei'li'lang'chao 跃海式内力浪潮
'yue'hai'zhan'liu'jian'ban'yue 月海斩流剑半月
'yue'hai'zhan'liu'jian'huai 月海斩流剑徊
'yue'hai'zhan'liu'jian'ji 月海斩流剑疾
'yue'hai'zhan'liu'jian'luo 月海斩流剑落
'yue'hai'zhan'liu'jian'mie 月海斩流剑灭
'yue'hai'zhan'liu'jian'po 月海斩流剑破
'yue'hai'zhan'liu'jian'zhong'yan 月海斩流剑终焉
'yue'hua 月华
'yue'hua'qing'xie 月华倾泻
'yue'hua'tian'xiang 月华天相
'yue'hua'tian'xiang'man'yue 月华天相满月
'yue'hua'tian'xiang'xian'yue 月华天相弦月
'yue'hua'tian'xiang'xin'yue 月华天相新月
'yue'hui'po'mo 月晦破魔
'yue'hui'yi'shi 月晦一式
'yue'ji 跃击
'yue'jia'he'jue'ji 月嘉禾绝技
'yue'jia'he'qing'ji'er'duan 月嘉禾轻击二段
'yue'jia'he'qing'ji'san'duan 月嘉禾轻击三段
'yue'jia'he'xiao'ji'neng 月嘉禾小技能
'yue'jia'he'zhong'ji 月嘉禾重击
'yue'jian 月见
'yue'jin'tian'ming 月尽天明
'yue'ke 月壳
'yue'ku'fen 月哭坟
'yue'lang'zuo'di 跃狼坐地
'yue'li'chang'si 跃立长嘶
'yue'lin 月临
'yue'liu'zhan 月流斩
'yue'liu'zhan'jian'hen 月流斩剑痕
'yue'lu 月露
'yue'lue'tian'he 月掠天河
'yue'lun'yuan'gou 月轮圆沟
'yue'luo 月落
'yue'luo'li'ge 月落离歌
'yue'luo'san 月落散
'yue'luo'shen'heng 月落参横
'yue'luo'zhan 月落斩
'yue'meng'qing'qiu 月梦清秋
'yue'ming'zhi'shi 月明之时
'yue'pei'jin'yue 月佩金月
'yue'pei'lan'yue 月佩蓝月
'yue'pei'xue'yue 月佩血月
'yue'pu 跃扑
'yue'quan'ji'qu 月泉汲取
'yue'quan'jian'fa 月泉剑法
'yue'quan'liu'yin 月泉流引
'yue'shi 月噬
'yue'shi 月蚀
'yue'shou'ci 跃首刺
'yue'shui'teng'kong 越水腾空
'yue'shuo'guan'qi'er'duan 月朔观气二段
'yue'shuo'guan'qi'qing'ji 月朔观气轻击
'yue'shuo'guan'qi'san'duan 月朔观气三段
'yue'shuo'guan'qi'yi'duan 月朔观气一段
'yue'shuo'guan'qi'zhong'ji 月朔观气重击
'yue'shuo'shi'lu 月朔实录
'yue'tian'long'yin'zhang 月天龙印掌
'yue'tian'yin 月天引
'yue'wu'wu'xian 乐舞无限
'yue'xia'du'zhuo 月下独酌
'yue'xia'du'zou 月下独奏
'yue'xia'dui'jue'nei'li'fan'shi 月下对决内力反噬
'yue'xia'dui'jue'nei'li'fan'tan 月下对决内力反弹
'yue'xia'feng'wu 月下风舞
'yue'xia'mian 月下眠
'yue'xia'qian'luan 月下千乱
'yue'xia'yin'ying 月下阴影
'yue'xian'ji'xing 月弦激星
'yue'xie 月斜
'yue'ya'dao'fa 月牙刀法
'yue'ya'jian'qi 月牙剑气
'yue'yan'dao'feng'rou 月炎刀锋柔
'yue'yan'wan'hua 月衍万化
'yue'yan'wan'hua'chu'shi 月衍万化初式
'yue'yan'wan'hua'huo'zhi'shi 月衍万化火之势
'yue'yan'wan'hua'jin'zhi'shi 月衍万化金之势
'yue'yan'wan'hua'mu'zhi'shi 月衍万化木之势
'yue'yan'wan'hua'sheng'sheng'xiang'ke 月衍万化生生相克
'yue'yan'wan'hua'shui'zhi'shi 月衍万化水之势
'yue'yan'wan'hua'tu'zhi'shi 月衍万化土之势
'yue'yan'wan'hua'zhong'shi 月衍万化终式
'yue'yan'zhuo'shao 月燕灼烧
'yue'yi 月倚
'yue'yi'hua'ying 月移花影
'yue'yin 月引
'yue'yin'san'hua'wu 月隐散华舞
'yue'ying 月影
'yue'ying 月盈
'yue'ying'ru'qin 月影入侵
'yue'ying'tian'hua'wu 月影天华舞
'yue'ying'tian'hua'zhen 月影天华阵
'yue'ying'tian'luo'ji 月影天罗击
'yue'ying'xi'hun 月影吸魂
'yue'yuan 越渊
'yue'yuan'tian'lun 月圆天轮
'yue'zhi 岳峙
'yue'zhi'chao'xi 月之潮汐
'yue'zhong'dui'yin 月中对饮
'yue'zhong'xi'xi 月中嬉戏
'yue'zhong'yan'zou 月中演奏
'yun'ben 云奔
'yun'ben'yu'zhou 云奔雨骤
'yun'chan'wu'rao 云缠雾绕
'yun'cheng'dun 云城盾
'yun'chi'pan'yin'yang 云螭判阴阳
'yun'chou 运筹
'yun'dao 云刀
'yun'dao 晕倒
'yun'di'tu'hao 蕴氐土貉
'yun'dong'yi'xia 运动一下
'yun'duan'bao'bao'lei 云端爆爆雷
'yun'fei'yu'huang 云飞玉皇
'yun'fei'yu'huang'dai'zong 云飞玉皇岱宗
'yun'fei'yu'huang'shen'bing 云飞玉皇神兵
'yun'gong 运功
'yun'gong'bi'jiu 运功逼酒
'yun'gong'tu'po 运功突破
'yun'hai'ting'xian 云海听弦
'yun'han 云汉
'yun'he'shan'fa 云合扇法
'yun'he'ying'cong 云合影从
'yun'hu'tian'zang 云湖天葬
'yun'huang 云荒
'yun'huang'zhan 云凰斩
'yun'huang'zhan'bao 云凰斩爆
'yun'huang'zhan'zhuo 云凰斩灼
'yun'huo'zhan 云火斩
'yun'ji'cang'hai 云济沧海
'yun'jian 云箭
'yun'jian'zhuan'yao 云肩转腰
'yun'jin'han'mie 云尽寒灭
'yun'jin'han'mie'qiang 云尽寒灭强
'yun'jin'han'mie'san 云尽寒灭散
'yun'lei 云雷
'yun'lei'kuang'shen 云雷狂身
'yun'ling 云凌
'yun'long 云龙
'yun'long'chu'xiu 云龙出岫
'yun'long'san'zhe 云龙三折
'yun'luo 陨落
'yun'men 云门
'yun'ping'hong'zhu 云屏红烛
'yun'qi'liao'shang 运气疗伤
'yun'qi'san'chen 运气散尘
'yun'qi'song 云栖松
'yun'qi'song'guan'ti 云栖松贯体
'yun'shang'su'yue 云裳溯月
'yun'shang'xin'jing 云裳心经
'yun'sheng'jie'hai 云生结海
'yun'sheng'jie'hai'guan'ti 云生结海贯体
'yun'shi 云石
'yun'shou 云手
'yun'song'wu'zi 运送物资
'yun'tai 云台
'yun'ti 云体
'yun'ti'feng'shen 云体风身
'yun'ti'feng'shen'zhui 云体风身坠
'yun'tou'ke'xuan 晕头壳旋
'yun'xi 云熙
'yun'xi'guan'ti 云洗贯体
'yun'xia'liu'qi'cheng 云霞流绮承
'yun'xia'liu'qi'he 云霞流绮合
'yun'xia'liu'qi'zhuan 云霞流绮转
'yun'xiu 云袖
'yun'yan'juan 云烟卷
'yun'yi 云翳
'yun'yi'zhuo'xing 云翳灼星
'yun'yong'ruo'hai 云涌若海
'yun'you 云游
'yun'yu 云雨
'yun'zhan 云栈
'yun'zhong'jian 云中剑
'yun'zhong'jian'sheng'tai'ji 云中剑生太极
'yun'zhong'jian'shi 云中剑势
'yun'zhong'jian'sui'xing'chen 云中剑碎星辰
'yun'zhong'jian'tun'ri'yue 云中剑吞日月
'za'a'han'shen'gong 杂阿含神功
'za'di 砸地
'za'di'chuan'ci 砸地穿刺
'za'di'meng'ji 砸地猛击
'za'ji 砸击
'za'shua'gao'shou 杂耍高手
'za'sui'mian 杂碎面
'za'sui'tang 杂碎汤
'za'wu'tou'zhi 杂物投掷
'za'xin'luan'yi 杂心乱意
'za'yi'ding'gang 杂艺顶缸
'za'yi'wu'huo 杂艺舞火
'za'yi'zhuan'die 杂艺转碟
'za'yin 杂音
'zai'chou'pai 再抽牌
'zai'gan'ge 载干戈
'zai'gan'ge'chuan'yun 载干戈穿云
'zai'huan 载欢
'zai'jian'le'pen'you'men 再见了盆油们
'zai'rong 载戎
'zai'sheng 再生
'zai'tou'dao'pai'gu 栽头倒排骨
'zai'wo 在握
'zai'wu 载物
'zai'yun 载云
'zan'ci 攒刺
'zan'ge 赞歌
'zan'li 暂离
'zan'ting 暂停
'zan'ting'kai'qi'yun'ying 暂停开启运营
'zan'wei'shi'yong 暂未使用
'zan'xing 簪星
'zang'guan'zhi'huo 葬棺之火
'zang'hun'ding 葬魂钉
'zang'hun'xue'zhao 葬魂血爪
'zang'xing'xiao'zhao'feng 葬星啸爪风
'zao'dong'de'neng'liang 躁动的能量
'zao'dong'zhi'ling 躁动之灵
'zao'dong'zhi'ling'lie'sha 躁动之灵猎杀
'zao'hua 造化
'zao'hua'gao 枣花糕
'zao'hua'gong 造化功
'zao'lao'zui 遭老罪
'ze'feng'tong'cheng 泽风同承
'ze'mi 泽靡
'ze'qian 泽前
'zei'mei'shu'yan 贼眉鼠眼
'zen'me'mei'ren'lai'mai'cai'ne 怎么没人来买菜呢
'zeng'bu 增卜
'zeng'hui 增慧
'zeng'jia'she'cheng 增加射程
'zeng'jia'wai'fang 增加外防
'zeng'qiang 增强
'zeng'qiang'fang'yu 增强防御
'zeng'song 赠送
'zeng'song'bing'qi 赠送兵器
'zeng'song'li'pin 赠送礼品
'zeng'song'li'wu 赠送礼物
'zeng'song'mei'jiu 赠送美酒
'zeng'yu'xiang 赠余香
'zha'chun'juan 炸春卷
'zha'dan 炸弹
'zha'dan'bao'zha 炸弹爆炸
'zha'dan'dian'ming'fan'wei'ji 炸弹点名范围技
'zha'dan'ren'yuan'di'zha'dan 炸弹人原地炸弹
'zha'dan'ren'zi'dan'biao'xian 炸弹人子弹表现
'zha'dan'yin'bao 炸弹引爆
'zha'er'duan 炸二段
'zha'hu'le'de'mian'jin 炸糊了的面筋
'zha'hu'le'de'rou'tiao 炸糊了的肉条
'zha'jiang'mian 炸酱面
'zha'lie 炸裂
'zha'lie'pai'ji 炸裂拍击
'zha'mao 炸毛
'zha'qi'chang 炸气场
'zha'san'duan 炸三段
'zha'yi'duan 炸一段
'zhai'xing 摘星
'zhai'xing'huan'dou 摘星换斗
'zhai'xing'shou 摘星手
'zhai'yue 摘月
'zhan'ba'fang 战八方
'zhan'bu'xuan'zhong 战不旋踵
'zhan'bu'zhong 占卜终
'zhan'chang'jing 斩长鲸
'zhan'che'bi'hu 战车庇护
'zhan'chi 展翅
'zhan'cun 湛存
'zhan'dao 斩刀
'zhan'di'pan 占地盘
'zhan'dou'nu'hou 战斗怒吼
'zhan'dou'xing'tai 战斗形态
'zhan'dou'yi'zhi 战斗意志
'zhan'dou'yu'she'qie'huan 战斗预设切换
'zhan'dou'zhuang'tai 战斗状态
'zhan'fang 绽放
'zhan'fen 斩纷
'zhan'feng'bo 斩风波
'zhan'feng'zhong'dao 斩枫重刀
'zhan'fu'xing'liu 战斧星流
'zhan'gu 战骨
'zhan'gui 斩鬼
'zhan'hai 斩海
'zhan'hou 战吼
'zhan'hua're'xu'man'tuo'luo 粘花惹絮曼陀罗
'zhan'hua're'xu'shan'gu'mu 粘花惹絮扇骨木
'zhan'huan 展缓
'zhan'hun 斩魂
'zhan'hun'dao 斩魂刀
'zhan'hun'gong 斩魂弓
'zhan'huo 斩火
'zhan'ji 战戟
'zhan'ji 斩击
'zhan'jue 斩绝
'zhan'kan 斩勘
'zhan'kuang'jue 战狂诀
'zhan'kuang'xiao 斩狂枭
'zhan'lan'zhui'ming'jian 湛蓝追命箭
'zhan'li 站立
'zhan'li'pu'ji 站立扑击
'zhan'li'qi'lai 站立起来
'zhan'long 战龙
'zhan'long 斩龙
'zhan'mang 崭芒
'zhan'mang 斩芒
'zhan'mo'jian'ta 战魔践踏
'zhan'ping 展屏
'zhan'po'jing'yong 斩破惊涌
'zhan'qi 斩骑
'zhan'qi'che 战旗撤
'zhan'qi'gong 战旗攻
'zhan'qi'shi 展旗势
'zhan'qi'yu 战旗御
'zhan'qiu 展秋
'zhan'sha 斩杀
'zhan'she'shi 斩蛇势
'zhan'shi 展示
'zhan'shou 斩首
'zhan'shu 占术
'zhan'si'fang 战四方
'zhan'si'lu'kun 战丝路坤
'zhan'si'lu'qian 战丝路乾
'zhan'si'lu'xun 战丝路巽
'zhan'tou'fu 斩头斧
'zhan'tui 斩颓
